source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2018-12-31,atp_250,True,hard,R32,3,Dimitrov G.,Nishioka Y.,19,75,1835,701,2,0,6,3,6,4,,,,,,,completed,1.36,3.0,1.36,3.37,1.42,3.6,1.35,3.18,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2018-12-31_dimitrov_g_nishioka_y
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2018-12-31,atp_250,True,hard,R32,3,Raonic M.,Bedene A.,18,67,1855,780,2,0,6,0,6,3,,,,,,,completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2018-12-31_raonic_m_bedene_a
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2018-12-31,atp_250,True,hard,R32,3,Kecmanovic M.,Mayer L.,131,56,433,895,2,0,6,3,6,1,,,,,,,completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2018-12-31_kecmanovic_m_mayer_l
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2018-12-31,atp_250,True,hard,R32,3,Millman J.,Sandgren T.,38,61,1083,814,2,1,7,6,6,7,6,0,,,,,completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2018-12-31_millman_j_sandgren_t
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2018-12-31,atp_250,True,hard,R32,3,Uchiyama Y.,Humbert U.,185,102,275,572,2,0,6,4,7,6,,,,,,,completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2018-12-31_uchiyama_y_humbert_u
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2019-01-01,atp_250,True,hard,R32,3,Kudla D.,Fritz T.,63,49,810,974,2,1,7,6,6,7,6,4,,,,,completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2019-01-01_kudla_d_fritz_t
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2019-01-01,atp_250,True,hard,R32,3,Chardy J.,Struff J.L.,40,57,1050,875,2,1,4,6,6,3,6,4,,,,,completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2019-01-01_chardy_j_struff_j_l
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2019-01-01,atp_250,True,hard,R32,3,Murray A.,Duckworth J.,240,234,200,206,2,0,6,3,6,4,,,,,,,completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2019-01-01_murray_a_duckworth_j
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2019-01-01,atp_250,True,hard,R32,3,Kyrgios N.,Harrison R.,35,62,1125,810,2,1,7,6,5,7,7,6,,,,,completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2019-01-01_kyrgios_n_harrison_r
tennis_data_uk,atp,2019,1,Brisbane International,Brisbane,2019-01-01,atp_250,True,hard,R32,3,Tsonga J.W.,Kokkinakis T.,239,146,200,367,2,0,7,6,6,4,,,,,,,completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64,2019_1_brisbane_brisbane_international,2019_1_brisbane_brisbane_international_2019-01-01_tsonga_j_w_kokkinakis_t
