tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
atp,2000,2000-317,1,1,1,1,2,1
atp,2000,2000-321,1,1,1,1,2,1
atp,2000,2000-328,1,1,1,1,2,1
atp,2000,2000-337,1,1,1,1,2,1
atp,2000,2000-352,1,1,1,1,2,1
atp,2000,2000-357,1,1,1,1,2,1
atp,2000,2000-403,1,1,1,1,2,1
atp,2000,2000-404,1,1,1,1,2,1
atp,2000,2000-410,1,1,1,1,2,1
atp,2000,2000-414,1,1,1,1,2,1
atp,2000,2000-416,1,1,1,1,2,1
atp,2000,2000-425,1,1,1,1,2,1
atp,2000,2000-429,1,1,1,1,2,1
atp,2000,2000-605,1,1,1,1,2,1
atp,2000,2000-96,1,1,1,1,2,1
atp,2000,2000-D002,1,1,1,1,2,1
atp,2000,2000-D004,1,1,1,1,2,1
atp,2000,2000-D005,1,1,1,1,2,1
atp,2000,2000-D006,1,1,1,1,2,1
atp,2000,2000-D009,1,1,1,1,2,1
atp,2000,2000-D010,1,1,1,1,2,1
atp,2000,2000-D011,1,1,1,1,2,1
atp,2000,2000-D013,1,1,1,1,2,1
atp,2000,2000-D015,1,1,1,1,2,1
atp,2000,2000-D016,1,1,1,1,2,1
atp,2000,2000-D017,1,1,1,1,2,1
atp,2000,2000-D018,1,1,1,1,2,1
atp,2000,2000-D019,1,1,1,1,2,1
atp,2000,2000-D020,1,1,1,1,2,1
atp,2000,2000-D021,1,1,1,1,2,1
atp,2000,2000-D023,1,1,1,1,2,1
atp,2000,2000-D024,1,1,1,1,2,1
atp,2000,2000-D026,1,1,1,1,2,1
atp,2000,2000-D027,1,1,1,1,2,1
atp,2000,2000-D028,1,1,1,1,2,1
atp,2000,2000-D031,1,1,1,1,2,1
atp,2000,2000-D032,1,1,1,1,2,1
atp,2000,2000-D035,1,1,1,1,2,1
atp,2000,2000-D036,1,1,1,1,2,1
atp,2000,2000-D039,1,1,1,1,2,1
atp,2000,2000-D040,1,1,1,1,2,1
atp,2000,2000-D042,1,1,1,1,2,1
atp,2000,2000-D043,1,1,1,1,2,1
atp,2000,2000-D044,1,1,1,1,2,1
atp,2000,2000-D045,1,1,1,1,2,1
atp,2000,2000-D046,1,1,1,1,2,1
atp,2000,2000-D047,1,1,1,1,2,1
atp,2000,2000-D050,1,1,1,1,2,1
atp,2000,2000-D052,1,1,1,1,2,1
atp,2000,2000-D054,1,1,1,1,2,1
atp,2000,2000-D055,1,1,1,1,2,1
atp,2000,2000-D056,1,1,1,1,2,1
atp,2000,2000-D057,1,1,1,1,2,1
atp,2000,2000-D058,1,1,1,1,2,1
atp,2000,2000-D061,1,1,1,1,2,1
atp,2000,2000-D062,1,1,1,1,2,1
atp,2000,2000-D063,1,1,1,1,2,1
atp,2000,2000-D064,1,1,1,1,2,1
atp,2000,2000-D065,1,1,1,1,2,1
atp,2000,2000-D067,1,1,1,1,2,1
atp,2000,2000-D068,1,1,1,1,2,1
atp,2000,2000-D069,1,1,1,1,2,1
atp,2000,2000-D070,1,1,1,1,2,1
atp,2000,2000-D071,1,1,1,1,2,1
atp,2000,2000-D072,1,1,1,1,2,1
atp,2000,2000-D073,1,1,1,1,2,1
atp,2000,2000-D074,1,1,1,1,2,1
atp,2000,2000-D075,1,1,1,1,2,1
atp,2000,2000-D076,1,1,1,1,2,1
atp,2000,2000-D078,1,1,1,1,2,1
atp,2000,2000-D079,1,1,1,1,2,1
atp,2000,2000-D080,1,1,1,1,2,1
atp,2000,2000-D081,1,1,1,1,2,1
atp,2000,2000-D082,1,1,1,1,2,1
atp,2001,2001-317,1,1,1,1,2,1
atp,2001,2001-319,1,1,1,1,2,1
atp,2001,2001-321,1,1,1,1,2,1
atp,2001,2001-328,1,1,1,1,2,1
atp,2001,2001-336,1,1,1,1,2,1
atp,2001,2001-337,1,1,1,1,2,1
atp,2001,2001-352,1,1,1,1,2,1
atp,2001,2001-357,1,1,1,1,2,1
atp,2001,2001-403,1,1,1,1,2,1
atp,2001,2001-404,1,1,1,1,2,1
atp,2001,2001-410,1,1,1,1,2,1
atp,2001,2001-414,1,1,1,1,2,1
atp,2001,2001-416,1,1,1,1,2,1
atp,2001,2001-425,1,1,1,1,2,1
atp,2001,2001-429,1,1,1,1,2,1
atp,2001,2001-605,1,1,1,1,2,1
atp,2001,2001-D001,1,1,1,1,2,1
atp,2001,2001-D002,1,1,1,1,2,1
atp,2001,2001-D005,1,1,1,1,2,1
atp,2001,2001-D006,1,1,1,1,2,1
atp,2001,2001-D008,1,1,1,1,2,1
atp,2001,2001-D011,1,1,1,1,2,1
atp,2001,2001-D015,1,1,1,1,2,1
atp,2001,2001-D016,1,1,1,1,2,1
atp,2001,2001-D017,1,1,1,1,2,1
