tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size,start_date,end_date,num_matches,num_rounds,num_completed_matches,num_defaulted_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank
atp,2000,2000-301,301,Auckland,A,hard,3,32,2000-01-10,2000-01-10,31,5,30,0,1,0,32,Magnus Norman,Michael Chang,14.0
atp,2000,2000-306,306,St. Poelten,A,clay,3,32,2000-05-22,2000-05-22,31,5,29,0,2,0,32,Andrei Pavel,Andrew Ilie,43.0
atp,2000,2000-308,308,Munich,A,clay,3,32,2000-05-01,2000-05-01,31,5,29,0,2,0,32,Franco Squillari,Tommy Haas,52.0
atp,2000,2000-311,311,Queen's Club,A,grass,3,56,2000-06-12,2000-06-12,55,6,52,0,3,0,56,Lleyton Hewitt,Pete Sampras,11.0
atp,2000,2000-314,314,Gstaad,A,clay,3,32,2000-07-10,2000-07-10,31,5,30,0,1,0,32,Alex Corretja,Mariano Puerta,10.0
atp,2000,2000-315,315,Newport,A,grass,3,32,2000-07-10,2000-07-10,31,5,30,0,1,0,32,Peter Wessels,Jens Knippschild,133.0
atp,2000,2000-316,316,Bastad,A,clay,3,32,2000-07-10,2000-07-10,31,5,30,0,1,0,32,Magnus Norman,Andreas Vinciguerra,2.0
atp,2000,2000-317,317,Amsterdam,A,clay,3,32,2000-07-17,2000-07-17,31,5,30,0,1,0,32,Magnus Gustafsson,Raemon Sluiter,63.0
atp,2000,2000-319,319,Kitzbuhel,A,clay,3,48,2000-07-24,2000-07-24,47,6,44,0,3,0,48,Alex Corretja,Emilio Benfele Alvarez,10.0
atp,2000,2000-321,321,Stuttgart Outdoor,A,clay,3,32,2000-07-17,2000-07-17,31,5,30,0,1,0,32,Franco Squillari,Gaston Gaudio,20.0
atp,2000,2000-325,325,Palermo,A,clay,3,32,2000-09-25,2000-09-25,31,5,30,0,1,0,32,Olivier Rochus,Diego Nargiso,104.0
atp,2000,2000-327,327,Toulouse,A,hard,3,32,2000-10-16,2000-10-16,31,5,30,0,1,0,32,Alex Corretja,Carlos Moya,9.0
atp,2000,2000-328,328,Basel,A,carpet,3,32,2000-10-23,2000-10-23,31,5,31,0,0,0,32,Thomas Enqvist,Roger Federer,6.0
