tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
wta,2007,2007-D004,1,1,1,1,2,1
wta,2007,2007-D012,1,1,1,1,2,1
wta,2007,2007-D069,1,1,1,1,2,1
wta,2007,2007-D108,1,1,1,1,2,1
wta,2007,2007-D115,1,1,1,1,2,1
wta,2007,2007-D130,1,1,1,1,2,1
wta,2008,2008-D088,1,1,1,0,2,1
wta,2008,2008-D100,1,1,1,1,2,1
wta,2008,2008-D108,1,1,1,1,2,1
wta,2009,2009-D058,1,1,1,1,2,1
wta,2010,2010-D023,1,1,1,1,2,1
wta,2010,2010-D071,1,1,1,1,2,1
wta,2010,2010-D080,1,1,1,1,2,1
wta,2010,2010-D090,1,1,1,1,2,1
wta,2010,2010-D096,1,1,1,1,2,1
wta,2010,2010-D140,1,1,1,1,2,1
wta,2011,2011-D003,1,1,1,1,2,1
wta,2011,2011-D010,1,1,1,1,2,1
wta,2011,2011-D031,1,1,1,1,2,1
wta,2011,2011-D042,1,1,1,1,2,1
wta,2011,2011-D048,1,1,1,1,2,1
wta,2011,2011-D051,1,1,1,1,2,1
wta,2012,2012-D003,1,1,1,1,2,1
wta,2012,2012-D040,1,1,1,1,2,1
wta,2012,2012-D098,1,1,1,1,2,1
wta,2012,2012-D133,1,1,1,1,2,1
wta,2013,2013-D012,1,1,1,1,2,1
wta,2013,2013-D042,1,1,1,1,2,1
wta,2013,2013-D059,1,1,1,1,2,1
wta,2013,2013-D104,1,1,1,1,2,1
wta,2014,2014-D093,1,1,1,1,2,1
wta,2014,2014-D117,1,1,1,1,2,1
wta,2014,2014-D139,1,1,1,1,2,1
wta,2015,2015-D014,1,1,1,1,2,1
wta,2015,2015-D017,1,1,1,1,2,1
