index,year,rows,duplicate_match_keys,status_count_completed,status_count_retired,status_count_walkover,completed_missing_odds,missing_pct_winner_rank,missing_pct_loser_rank,missing_pct_winner_rank_points,missing_pct_loser_rank_points,missing_pct_winner_sets,missing_pct_loser_sets,missing_pct_winner_set_1_games,missing_pct_loser_set_1_games,missing_pct_winner_set_2_games,missing_pct_loser_set_2_games,missing_pct_winner_set_3_games,missing_pct_loser_set_3_games,missing_pct_winner_set_4_games,missing_pct_loser_set_4_games,missing_pct_winner_set_5_games,missing_pct_loser_set_5_games,missing_pct_odds_b365_winner,missing_pct_odds_b365_loser,missing_pct_odds_pinnacle_winner,missing_pct_odds_pinnacle_loser,missing_pct_odds_max_winner,missing_pct_odds_max_loser,missing_pct_odds_avg_winner,missing_pct_odds_avg_loser,status_count_disqualified,status_count_awarded,status_count_rrtired,status_count_sched
Metric_2010,2010,2679,0,2569,94,16,924,0.0373,0.1866,0.0373,0.1866,0.5972,0.5972,0.5972,0.5972,1.7171,1.7171,55.2072,55.2072,90.8921,90.8921,96.2299,96.2299,0.8959,0.8212,1.0078,1.0078,35.4237,35.4237,35.4237,35.4237,0.0,0.0,0.0,0.0
Metric_2011,2011,2675,0,2566,95,14,28,0.0,0.0374,0.0,0.0374,0.5234,0.5234,0.5234,0.5234,1.6822,1.6822,54.4299,54.4299,91.7009,91.7009,97.271,97.271,0.9346,0.5607,0.6729,0.6729,0.4112,0.4112,0.4112,0.4112,0.0,0.0,0.0,0.0
Metric_2012,2012,2607,0,2501,89,16,19,0.0384,0.2301,0.0,0.1918,0.6137,0.6137,0.6137,0.6137,1.6878,1.6878,55.2359,55.2359,90.0652,90.0652,95.934,95.934,0.4219,0.1534,0.537,0.537,0.0767,0.0767,0.0767,0.0767,1.0,0.0,0.0,0.0
Metric_2013,2013,2631,0,2521,93,17,14,0.038,0.2281,0.038,0.2281,0.6461,0.6461,0.6842,0.6842,1.7864,1.7864,52.6796,52.6796,91.4101,91.4101,96.3132,96.3132,0.114,0.114,0.5701,0.5701,0.076,0.076,0.076,0.076,0.0,0.0,0.0,0.0
Metric_2014,2014,2600,0,2488,87,25,25,0.0,0.0769,0.0,0.0769,0.9615,0.9615,0.9615,0.9615,2.0,2.0,53.0,53.0,91.2692,91.2692,96.8462,96.8462,0.5,0.3846,0.6538,0.6538,0.0385,0.0385,0.0385,0.0385,0.0,0.0,0.0,0.0
Metric_2015,2015,2630,0,2527,94,9,7,0.1141,0.2281,0.1141,0.2281,0.3422,0.3422,0.3422,0.3422,1.3688,1.3688,51.4449,51.4449,90.6084,90.6084,96.3498,96.3498,0.2281,0.1901,0.2281,0.2281,0.076,0.076,0.076,0.076,0.0,0.0,0.0,0.0
Metric_2016,2016,2626,0,2527,82,17,5,0.0381,0.2666,0.0381,0.2666,0.7616,0.7616,0.6855,0.6855,1.5232,1.5232,53.2369,53.2369,90.5179,90.5179,96.4966,96.4966,0.1142,0.1142,0.2285,0.2285,0.0762,0.0762,0.0762,0.0762,0.0,0.0,0.0,0.0
Metric_2017,2017,2633,0,2530,89,14,15,0.0,0.2279,0.0,0.2279,0.6077,0.6457,0.5697,0.5317,1.7471,1.7471,51.5761,51.5761,90.8849,90.8849,96.8477,96.8477,0.2659,0.2659,0.5317,0.5317,0.1139,0.1139,0.1139,0.1139,0.0,0.0,0.0,0.0
Metric_2018,2018,2637,0,2555,68,14,20,0.0,0.0379,0.0,0.0379,0.5309,0.5688,0.5688,0.5309,1.1377,1.1377,50.8532,50.8532,89.9507,89.9507,96.5491,96.5491,0.493,0.493,0.7584,0.7584,0.0379,0.0379,0.0379,0.0379,0.0,0.0,0.0,0.0
Metric_2019,2019,2610,0,2530,57,21,14,0.1533,0.4981,0.1149,0.4981,0.8046,0.8046,0.8046,0.8046,1.3027,1.3027,52.1456,52.1456,89.8467,89.8467,96.3218,96.3218,0.4981,0.4981,0.4215,0.4215,0.0383,0.0383,0.0383,0.0383,0.0,1.0,0.0,1.0
Metric_2020,2020,1267,0,1237,24,5,12,0.0789,0.3946,0.0789,0.3946,0.4736,0.4736,0.4736,0.4736,1.105,1.105,44.5146,44.5146,85.8721,85.8721,94.0805,94.0805,0.4736,0.5525,0.7103,0.6314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Metric_2021,2021,2489,0,2408,61,18,23,0.0,0.2411,0.0,0.2411,0.8035,0.8437,0.8437,0.8035,1.6071,1.6071,52.0289,52.0289,89.0719,89.0719,95.9823,95.9823,0.8437,0.9642,0.2812,0.2812,0.0402,0.0402,0.0402,0.0402,0.0,1.0,1.0,0.0
Metric_2022,2022,2632,0,2547,72,13,16,0.0,0.076,0.0,0.076,0.6459,0.6459,0.6459,0.6459,1.2158,1.2158,51.9757,51.9757,89.8176,89.8176,96.2386,96.2386,0.3799,0.3799,0.6079,0.5699,0.152,0.152,0.152,0.152,0.0,0.0,0.0,0.0
Metric_2023,2023,2703,0,2614,69,19,12,0.074,0.259,0.074,0.259,0.7029,0.7029,0.7029,0.7029,1.5908,1.5908,52.3492,52.3492,89.9371,89.9371,96.3004,96.3004,0.185,0.185,0.444,0.444,0.185,0.185,0.185,0.185,0.0,1.0,0.0,0.0
Metric_2024,2024,2517,0,2427,72,16,9,0.0,0.0795,0.0,0.0795,0.6357,0.6357,0.6754,0.6754,1.2316,1.2316,51.9269,51.9269,88.3592,88.3592,95.2721,95.2721,0.2384,0.2384,0.3576,0.3576,0.1589,0.1589,0.1589,0.1589,0.0,2.0,0.0,0.0
