source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,indoor_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-03,atp_250,outdoor,hard,R128,3,Kwon S.W.,Nishioka Y.,53,81,1115,823,2,0,6,1,6,2,,,,,,,completed,1.61,2.3,1.7,2.26,1.76,2.5,1.64,2.22,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_kwon_s_w_nishioka_y
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-03,atp_250,outdoor,hard,R128,3,Monteiro T.,Altmaier D.,89,84,805,813,2,1,6,2,3,6,7,6,,,,,completed,2.3,1.61,2.49,1.6,2.6,1.62,2.38,1.57,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_monteiro_t_altmaier_d
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-03,atp_250,outdoor,hard,R128,3,Djere L.,Carballes Baena R.,52,79,1131,837,2,0,7,5,7,6,,,,,,,completed,1.66,2.2,1.81,2.1,1.83,2.26,1.7,2.12,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_djere_l_carballes_baena_r
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-03,atp_250,outdoor,hard,R128,3,Johnson S.,Vukic A.,85,156,812,440,2,1,6,4,2,6,6,4,,,,,completed,2.0,1.8,2.21,1.74,2.3,1.8,2.1,1.72,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_johnson_s_vukic_a
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Moutet C.,Rune H.,92,103,797,740,2,0,7,6,6,4,,,,,,,completed,2.75,1.44,2.66,1.53,2.81,1.54,2.64,1.47,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_moutet_c_rune_h
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Daniel T.,Musetti L.,125,59,584,1004,2,1,6,4,6,7,6,3,,,,,completed,2.0,1.8,2.19,1.75,2.25,1.8,2.09,1.73,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_daniel_t_musetti_l
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Gerasimov E.,Fucsovics M.,113,40,665,1459,2,0,6,3,6,4,,,,,,,completed,2.37,1.57,2.91,1.46,2.91,1.57,2.62,1.48,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_gerasimov_e_fucsovics_m
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Ymer M.,Bonzi B.,94,64,782,969,2,0,7,5,7,5,,,,,,,completed,2.0,1.8,2.15,1.78,2.15,1.82,2.04,1.77,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_ymer_m_bonzi_b
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Cerundolo J.M.,Bolt A.,90,137,803,506,2,0,6,2,6,4,,,,,,,completed,2.75,1.44,2.87,1.47,3.32,1.47,2.89,1.41,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_cerundolo_j_m_bolt_a
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Paul T.,Vesely J.,43,83,1349,822,2,1,6,4,4,6,6,4,,,,,completed,1.33,3.4,1.35,3.45,1.35,3.6,1.32,3.35,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_paul_t_vesely_j
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Mager G.,Cerundolo F.,62,127,978,582,2,1,6,4,3,6,6,4,,,,,completed,2.0,1.8,1.94,1.94,2.0,2.07,1.9,1.88,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_mager_g_cerundolo_f
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-04,atp_250,outdoor,hard,R128,3,Kokkinakis T.,Millman J.,171,72,394,875,2,0,6,4,6,3,,,,,,,completed,1.72,2.1,1.8,2.11,1.87,2.15,1.77,2.03,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_kokkinakis_t_millman_j
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-05,atp_250,outdoor,hard,R64,3,Djere L.,Moutet C.,52,92,1131,797,1,1,4,6,7,5,,,,,,,retired,2.3,1.61,2.31,1.69,2.49,1.72,2.28,1.62,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-05_djere_l_moutet_c
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-05,atp_250,outdoor,hard,R64,3,Cilic M.,Monteiro T.,30,89,1710,805,2,0,6,4,7,6,,,,,,,completed,1.3,3.5,1.34,3.6,1.35,3.7,1.3,3.44,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-05_cilic_m_monteiro_t
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-05,atp_250,outdoor,hard,R64,3,Ymer M.,Kwon S.W.,94,53,782,1115,2,0,6,3,6,2,,,,,,,completed,2.37,1.57,2.33,1.68,2.41,1.71,2.31,1.6,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-05_ymer_m_kwon_s_w
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-05,atp_250,outdoor,hard,R64,3,Kokkinakis T.,Tiafoe F.,171,38,394,1492,2,1,3,6,7,5,6,1,,,,,completed,2.3,1.61,2.37,1.66,2.4,1.73,2.26,1.63,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-05_kokkinakis_t_tiafoe_f
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-06,atp_250,outdoor,hard,R64,3,Paul T.,Daniel T.,43,125,1349,584,2,1,6,4,6,7,6,4,,,,,completed,1.33,3.4,1.3,3.93,1.38,3.93,1.29,3.5,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-06_paul_t_daniel_t
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-06,atp_250,outdoor,hard,R64,3,Gerasimov E.,Mager G.,113,62,665,978,2,1,6,1,3,6,6,3,,,,,completed,1.66,2.2,1.75,2.21,1.75,2.45,1.67,2.18,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-06_gerasimov_e_mager_g
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-06,atp_250,outdoor,hard,R64,3,Khachanov K.,Johnson S.,29,85,1731,812,2,1,6,4,4,6,6,2,,,,,completed,1.25,4.0,1.29,3.99,1.3,4.36,1.24,3.91,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-06_khachanov_k_johnson_s
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-06,atp_250,outdoor,hard,R64,3,Monfils G.,Cerundolo J.M.,21,90,2158,803,2,0,6,2,6,1,,,,,,,completed,1.2,4.5,1.2,5.21,1.22,5.55,1.18,4.68,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-06_monfils_g_cerundolo_j_m
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-07,atp_250,outdoor,hard,QF,3,Cilic M.,Djere L.,30,52,1710,1131,2,0,6,3,6,2,,,,,,,completed,1.28,3.75,1.31,3.85,1.33,4.15,1.29,3.58,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-07_cilic_m_djere_l
tennis_data_uk,atp,2022,1,Adelaide International 1,Adelaide,2022-01-07,atp_250,outdoor,hard,QF,3,Monfils G.,Paul T.,21,43,2158,1349,2,0,6,4,6,1,,,,,,,completed,1.53,2.5,1.63,2.44,1.63,2.7,1.56,2.42,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-07_monfils_g_paul_t
