source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2023-12-31,atp_250,True,hard,R32,3,Popyrin A.,O Connell C.,40,68,1084,780,2,1,6,4,6,7,7,6,,,,,completed,1.62,2.3,1.72,2.23,1.77,2.32,1.68,2.17,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2023-12-31_popyrin_a_o_connell_c
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2023-12-31,atp_250,True,hard,R32,3,Shevchenko A.,Van Assche L.,48,90,947,687,2,0,6,3,6,2,,,,,,,completed,1.62,2.3,1.78,2.14,1.78,2.32,1.7,2.14,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2023-12-31_shevchenko_a_van_assche_l
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-01,atp_250,True,hard,R32,3,Safiullin R.,Shelton B.,39,17,1122,2145,2,1,6,3,6,7,6,3,,,,,completed,2.3,1.62,2.31,1.68,2.32,1.68,2.24,1.63,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-01_safiullin_r_shelton_b
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-01,atp_250,True,hard,R32,3,Rune H.,Purcell M.,8,45,3660,1012,2,1,4,6,6,4,6,2,,,,,completed,1.25,4.0,1.32,3.68,1.32,4.01,1.28,3.65,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-01_rune_h_purcell_m
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-01,atp_250,True,hard,R32,3,Dimitrov G.,Murray A.,14,42,2570,1050,2,1,4,6,7,5,6,2,,,,,completed,1.33,3.4,1.35,3.47,1.36,3.5,1.33,3.25,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-01_dimitrov_g_murray_a
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-02,atp_250,True,hard,R32,3,Hanfmann Y.,Korda S.,51,24,914,1530,2,0,7,5,6,4,,,,,,,completed,4.5,1.2,4.54,1.25,4.54,1.25,4.16,1.22,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-02_hanfmann_y_korda_s
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-02,atp_250,True,hard,R32,3,Klein L.,Baez S.,170,28,359,1435,2,1,4,6,6,3,6,4,,,,,completed,2.0,1.8,2.02,1.88,2.22,1.88,2.04,1.76,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-02_klein_l_baez_s
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-02,atp_250,True,hard,R32,3,Duckworth J.,Wolf J.J.,116,53,573,910,2,0,6,3,6,4,,,,,,,completed,2.38,1.57,2.21,1.74,2.4,1.74,2.24,1.63,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-02_duckworth_j_wolf_j_j
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-02,atp_250,True,hard,R32,3,Altmaier D.,Tu L.,56,225,891,280,2,0,7,6,7,6,,,,,,,completed,1.57,2.38,1.64,2.39,1.64,2.4,1.59,2.32,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-02_altmaier_d_tu_l
tennis_data_uk,atp,2024,1,Brisbane International,Brisbane,2024-01-02,atp_250,True,hard,R32,3,Machac T.,Etcheverry T.,78,30,722,1375,2,1,6,7,7,5,7,6,,,,,completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,2024_1_brisbane_brisbane_international,2024_1_brisbane_brisbane_international_2024-01-02_machac_t_etcheverry_t
