tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor
atp,2000,19,Indian Wells,1,1,1,2,1
atp,2000,20,Miami,1,1,1,2,1
atp,2000,24,Monte Carlo,1,1,1,2,1
atp,2000,29,Rome,1,1,1,2,1
atp,2000,30,Hamburg,1,1,1,2,1
atp,2000,63,Stuttgart,1,1,1,2,1
atp,2000,66,Paris,1,1,1,2,1
atp,2001,20,Indian Wells,1,1,1,2,1
atp,2001,21,Miami,1,1,1,2,1
atp,2001,24,Monte Carlo,1,1,1,2,1
atp,2001,30,Rome,1,1,1,2,1
atp,2001,31,Hamburg,1,1,1,2,1
atp,2001,64,Stuttgart,1,1,1,2,1
atp,2001,68,Paris,1,1,1,2,1
atp,2002,20,Miami,1,1,1,2,1
atp,2002,23,Monte Carlo,1,1,1,2,1
atp,2002,28,Rome,1,1,1,2,1
atp,2002,29,Hamburg,1,1,1,2,1
atp,2002,65,Paris,1,1,1,2,1
atp,2003,28,Rome,1,1,1,2,1
atp,2003,29,Hamburg,1,1,1,2,1
atp,2003,62,Madrid,1,1,1,2,1
atp,2003,66,Paris,1,1,1,2,1
atp,2004,19,Miami,1,1,1,2,1
atp,2004,23,Monte Carlo,1,1,1,2,1
atp,2004,26,Rome,1,1,1,2,1
atp,2004,27,Hamburg,1,1,1,2,1
atp,2004,62,Madrid,1,1,1,2,1
atp,2004,66,Paris,1,1,1,2,1
atp,2005,19,Indian Wells,1,1,1,2,1
atp,2005,20,Miami,1,1,1,2,1
atp,2005,23,Monte Carlo,1,1,1,2,1
atp,2005,28,Rome,1,1,1,2,1
atp,2005,29,Hamburg,1,1,1,2,1
atp,2005,62,Madrid,1,1,1,2,1
atp,2005,66,Paris,1,1,1,2,1
atp,2006,19,Indian Wells,1,1,1,2,1
atp,2006,20,Miami,1,1,1,2,1
atp,2006,23,Monte Carlo,1,1,1,2,1
atp,2006,28,Rome,1,1,1,2,1
atp,2006,29,Hamburg,1,1,1,2,1
atp,2006,38,Gstaad,1,1,1,2,1
atp,2006,62,Madrid,1,1,1,2,1
atp,2006,66,Paris,1,1,1,2,1
atp,2007,19,Indian Wells,1,1,1,2,1
atp,2007,20,Miami,1,1,1,2,1
