tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor,start_date,end_date,num_matches,source_event_key,num_rounds,num_awarded_matches,num_completed_matches,num_disqualified_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank,champion_avg_odds,location_tournament_key
atp,2000,1,Adelaide,Australian Hardcourt Championships,International,hard,3,True,2000-01-03,2000-01-03,31,2000_1_adelaide_australian_hardcourt_championships,5,0,31,0,0,0,32,Hewitt L.,Enqvist T.,24.0,,adelaide_australian_hardcourt_championships
atp,2000,2,Chennai,Gold Flake Open,International,hard,3,True,2000-01-03,2000-01-03,31,2000_2_chennai_gold_flake_open,5,0,31,0,0,0,32,Golmard J.,Hantschk M.,38.0,,chennai_gold_flake_open
atp,2000,3,Doha,Qatar Open,International,hard,3,True,2000-01-03,2000-01-03,31,2000_3_doha_qatar_open,5,0,28,0,3,0,32,Santoro F.,Schuettler R.,32.0,,doha_qatar_open
atp,2000,4,Auckland,Heineken Open,International,hard,3,True,2000-01-10,2000-01-10,31,2000_4_auckland_heineken_open,5,0,30,0,1,0,32,Norman M.,Chang M.,14.0,,auckland_heineken_open
atp,2000,5,Sydney,Sydney International,International,hard,3,True,2000-01-10,2000-01-10,31,2000_5_sydney_sydney_international,5,0,31,0,0,0,32,Hewitt L.,Stoltenberg J.,21.0,,sydney_sydney_international
atp,2000,6,Melbourne,Australian Open,grand_slam,hard,5,True,2000-01-17,2000-01-17,127,2000_6_melbourne_australian_open,7,0,124,0,3,0,128,Agassi A.,Kafelnikov Y.,1.0,,melbourne_australian_open
atp,2000,7,Dubai,Dubai Open,International,hard,3,True,2000-02-07,2000-02-07,31,2000_7_dubai_dubai_open,5,0,31,0,0,0,32,Kiefer N.,Ferrero J.C.,4.0,,dubai_dubai_open
atp,2000,8,Marseille,Marseille Open,International,hard,3,False,2000-02-07,2000-02-07,31,2000_8_marseille_marseille_open,5,0,30,0,1,0,32,Rosset M.,Federer R.,77.0,,marseille_marseille_open
atp,2000,9,San Jose,Sybase Open,International,hard,3,False,2000-02-07,2000-02-07,31,2000_9_san_jose_sybase_open,5,0,31,0,0,0,32,Philippoussis M.,Tillstrom M.,17.0,,san_jose_sybase_open
atp,2000,10,Memphis,Kroger St. Jude,International Gold,hard,3,False,2000-02-14,2000-02-14,47,2000_10_memphis_kroger_st_jude,6,0,46,0,0,1,48,Larsson M.,Black B.,78.0,,memphis_kroger_st_jude
atp,2000,11,Rotterdam,ABN AMRO World Tennis Tournament,International Gold,hard,3,False,2000-02-14,2000-02-14,31,2000_11_rotterdam_abn_amro_world_tennis_tournament,5,0,31,0,0,0,32,Pioline C.,Henman T.,15.0,,rotterdam_abn_amro_world_tennis_tournament
atp,2000,12,London,AXA Cup,International Gold,hard,3,False,2000-02-21,2000-02-21,31,2000_12_london_axa_cup,5,0,31,0,0,0,32,Rosset M.,Kafelnikov Y.,72.0,,london_axa_cup
atp,2000,13,Mexico City,Mexican Open,International Gold,clay,3,True,2000-02-21,2000-02-21,31,2000_13_mexico_city_mexican_open,5,0,30,0,1,0,32,Chela J.I.,Puerta M.,129.0,,mexico_city_mexican_open
atp,2000,14,Copenhagen,Copenhagen Open,International,hard,3,False,2000-02-28,2000-02-28,31,2000_14_copenhagen_copenhagen_open,5,0,31,0,0,0,32,Vinciguerra A.,Larsson M.,80.0,,copenhagen_copenhagen_open
