source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-30,atp_250,True,hard,R32,3,Matosevic M.,Benneteau J.,61,35,774,1160,2,1,5,7,6,4,7,6,,,,,completed,1.72,2.0,1.88,2.01,2.0,2.1,1.82,1.94,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-30_matosevic_m_benneteau_j
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-30,atp_250,True,hard,R32,3,Nieminen J.,Duckworth J.,39,136,1090,425,2,0,6,2,6,3,,,,,,,completed,1.28,3.5,1.35,3.47,1.36,3.8,1.32,3.32,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-30_nieminen_j_duckworth_j
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-30,atp_250,True,hard,R32,3,Cilic M.,Istomin D.,37,45,1130,965,2,1,6,7,7,6,6,4,,,,,completed,1.36,3.0,1.39,3.22,1.44,3.55,1.39,2.93,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-30_cilic_m_istomin_d
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-30,atp_250,True,hard,R32,3,Querrey S.,Tursunov D.,46,29,960,1244,2,0,7,5,6,4,,,,,,,completed,1.9,1.8,1.99,1.9,2.1,1.91,1.92,1.83,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-30_querrey_s_tursunov_d
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-30,atp_250,True,hard,R32,3,Dimitrov G.,Haase R.,23,43,1520,977,2,0,6,2,6,3,,,,,,,completed,1.25,3.75,1.28,4.01,1.33,4.33,1.29,3.53,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-30_dimitrov_g_haase_r
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-31,atp_250,True,hard,R32,3,Mahut N.,Sijsling I.,50,70,918,697,2,1,3,6,6,4,6,4,,,,,completed,2.25,1.57,2.49,1.6,2.6,1.63,2.37,1.56,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-31_mahut_n_sijsling_i
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-31,atp_250,True,hard,R32,3,Ebden M.,Kuznetsov Al.,68,142,706,397,2,0,6,3,6,4,,,,,,,completed,1.25,3.75,1.36,3.39,1.36,3.8,1.31,3.34,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-31_ebden_m_kuznetsov_al
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-31,atp_250,True,hard,R32,3,Lopez F.,Kukushkin M.,28,67,1310,721,2,0,6,4,6,4,,,,,,,completed,1.66,2.1,1.75,2.18,1.83,2.2,1.71,2.09,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-31_lopez_f_kukushkin_m
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-31,atp_250,True,hard,R32,3,Chardy J.,Mannarino A.,34,59,1175,784,2,0,7,6,7,5,,,,,,,completed,1.44,2.62,1.55,2.6,1.62,2.75,1.55,2.41,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-31_chardy_j_mannarino_a
tennis_data_uk,atp,2014,1,Brisbane International,Brisbane,2013-12-31,atp_250,True,hard,R32,3,Copil M.,Sugita Y.,147,170,369,310,2,1,7,6,6,7,7,6,,,,,completed,1.57,2.25,1.63,2.43,1.65,2.43,1.6,2.29,2014_1_brisbane_brisbane_international,2014_1_brisbane_brisbane_international_2013-12-31_copil_m_sugita_y
