source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-01,atp_250,True,hard,R32,3,Thompson J.,Ymer E.,79,160,689,372,2,0,6,3,6,2,,,,,,,completed,1.28,3.5,1.31,3.73,1.33,3.9,1.29,3.5,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-01_thompson_j_ymer_e
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-02,atp_250,True,hard,R32,3,Mahut N.,Robert S.,39,54,1102,854,2,1,4,6,6,3,6,4,,,,,completed,1.5,2.5,1.58,2.52,1.59,2.55,1.54,2.43,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-02_mahut_n_robert_s
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-02,atp_250,True,hard,R32,3,Ferrer D.,Tomic B.,21,26,1785,1465,2,0,6,3,7,5,,,,,,,completed,1.9,1.8,2.1,1.81,2.15,1.82,2.01,1.77,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-02_ferrer_d_tomic_b
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-02,atp_250,True,hard,R32,3,Edmund K.,Escobedo E.,45,141,1001,443,2,0,7,6,7,6,,,,,,,completed,1.36,3.0,1.42,3.09,1.42,3.25,1.37,3.01,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-02_edmund_k_escobedo_e
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-02,atp_250,True,hard,R32,3,Dimitrov G.,Johnson S.,17,33,2035,1320,2,0,6,2,6,3,,,,,,,completed,1.4,2.75,1.41,3.13,1.46,3.13,1.41,2.85,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-02_dimitrov_g_johnson_s
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Donaldson J.,Muller G.,105,34,570,1255,2,0,6,4,6,4,,,,,,,completed,2.62,1.44,2.74,1.51,2.75,1.51,2.64,1.47,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_donaldson_j_muller_g
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Groth S.,Herbert P.H.,180,78,320,698,2,1,6,3,5,7,7,5,,,,,completed,2.25,1.57,2.34,1.66,2.4,1.66,2.27,1.61,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_groth_s_herbert_p_h
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Pouille L.,Simon G.,15,25,2156,1585,2,0,7,6,7,6,,,,,,,completed,1.8,1.9,1.93,1.95,1.93,2.0,1.83,1.94,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_pouille_l_simon_g
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Troicki V.,Nishioka Y.,29,100,1385,604,2,0,6,4,7,5,,,,,,,completed,1.5,2.5,1.54,2.62,1.54,2.85,1.49,2.57,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_troicki_v_nishioka_y
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Schwartzman D.,Querrey S.,52,31,864,1355,2,0,6,2,6,4,,,,,,,completed,2.2,1.61,2.2,1.74,2.3,1.74,2.18,1.66,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_schwartzman_d_querrey_s
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Zverev M.,De Minaur A.,51,351,874,132,2,0,6,3,6,3,,,,,,,completed,1.44,2.62,1.49,2.8,1.5,2.8,1.45,2.7,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_zverev_m_de_minaur_a
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-03,atp_250,True,hard,R32,3,Nadal R.,Dolgopolov O.,9,62,3300,760,2,0,6,3,6,3,,,,,,,completed,1.16,5.0,1.15,6.34,1.2,6.34,1.14,5.34,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-03_nadal_r_dolgopolov_o
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-04,atp_250,True,hard,R16,3,Nishikori K.,Donaldson J.,5,105,4905,570,2,1,4,6,6,4,6,3,,,,,completed,1.1,7.0,1.12,7.58,1.14,7.58,1.11,6.37,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-04_nishikori_k_donaldson_j
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-04,atp_250,True,hard,R16,3,Thompson J.,Ferrer D.,79,21,689,1785,2,1,4,6,7,5,7,5,,,,,completed,4.5,1.18,4.93,1.22,5.0,1.23,4.46,1.2,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-04_thompson_j_ferrer_d
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-04,atp_250,True,hard,R16,3,Edmund K.,Pouille L.,45,15,1001,2156,1,0,6,3,3,1,,,,,,,retired,2.62,1.44,2.6,1.56,2.75,1.57,2.51,1.51,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-04_edmund_k_pouille_l
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-04,atp_250,True,hard,R16,3,Wawrinka S.,Troicki V.,4,29,5315,1385,2,0,7,6,6,4,,,,,,,completed,1.3,3.4,1.34,3.6,1.35,3.6,1.31,3.39,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-04_wawrinka_s_troicki_v
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-05,atp_250,True,hard,R16,3,Dimitrov G.,Mahut N.,17,39,2035,1102,2,0,6,2,6,4,,,,,,,completed,1.18,4.5,1.21,5.0,1.25,5.0,1.2,4.39,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-05_dimitrov_g_mahut_n
tennis_data_uk,atp,2017,1,Brisbane International,Brisbane,2017-01-05,atp_250,True,hard,R16,3,Thiem D.,Groth S.,8,180,3415,320,2,0,7,6,6,3,,,,,,,completed,1.16,4.5,1.22,4.97,1.25,4.97,1.2,4.4,2017_1_brisbane_brisbane_international,2017_1_brisbane_brisbane_international_2017-01-05_thiem_d_groth_s
