tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor,start_date,end_date,num_matches,source_event_key,num_rounds,num_cancelled_matches,num_completed_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank,champion_avg_odds,location_tournament_key
wta,2007,1,Auckland,ASB Classic,tier_4,hard,3,True,2007-01-01,2007-01-06,31,2007_1_auckland_asb_classic,5,0,29,2,0,32,Jankovic J.,Zvonareva V.,12.0,,auckland_asb_classic
wta,2007,2,Gold Coast,Mondial Australian Women's Hardcourts,tier_3,hard,3,True,2006-12-31,2007-01-06,31,2007_2_gold_coast_mondial_australian_women_s_hardcourts,5,0,30,1,0,32,Safina D.,Hingis M.,11.0,,gold_coast_mondial_australian_women_s_hardcourts
wta,2007,3,Hobart,Moorilla Hobart International,tier_4,hard,3,True,2007-01-07,2007-01-12,31,2007_3_hobart_moorilla_hobart_international,5,0,31,0,0,32,Chakvetadze A.,Bardina V.,13.0,,hobart_moorilla_hobart_international
wta,2007,4,Sydney,Medibank International,tier_2,hard,3,True,2007-01-07,2007-01-12,27,2007_4_sydney_medibank_international,5,0,25,2,0,28,Clijsters K.,Jankovic J.,5.0,,sydney_medibank_international
wta,2007,5,Melbourne,Australian Open,grand_slam,hard,3,True,2007-01-15,2007-01-27,127,2007_5_melbourne_australian_open,7,0,126,1,0,128,Williams S.,Sharapova M.,81.0,,melbourne_australian_open
wta,2007,6,Tokyo,Toray Pan Pacific Open,tier_1,carpet,3,False,2007-01-30,2007-02-04,27,2007_6_tokyo_toray_pan_pacific_open,5,0,26,1,0,28,Hingis M.,Ivanovic A.,6.0,,tokyo_toray_pan_pacific_open
wta,2007,7,Paris,Open Gaz de France,tier_2,carpet,3,False,2007-02-05,2007-02-11,27,2007_7_paris_open_gaz_de_france,5,0,27,0,0,28,Petrova N.,Safarova L.,7.0,,paris_open_gaz_de_france
wta,2007,8,Pattaya,Pattaya Women's Open,tier_4,hard,3,True,2007-02-05,2007-02-11,31,2007_8_pattaya_pattaya_women_s_open,5,0,30,0,1,32,Bammer S.,Dulko G.,61.0,,pattaya_pattaya_women_s_open
wta,2007,9,Antwerp,Proximus Diamond Games,tier_2,hard,3,False,2007-02-12,2007-02-18,27,2007_9_antwerp_proximus_diamond_games,5,0,25,2,0,28,Mauresmo A.,Clijsters K.,3.0,,antwerp_proximus_diamond_games
wta,2007,10,Bangalore,Sony Ericsson International,tier_3,hard,3,True,2007-02-13,2007-02-18,31,2007_10_bangalore_sony_ericsson_international,5,0,31,0,0,32,Shvedova Y.,Santangelo M.,143.0,,bangalore_sony_ericsson_international
wta,2007,11,Bogota,Copa Colsanitas Santander,tier_3,clay,3,True,2007-02-19,2007-02-25,31,2007_11_bogota_copa_colsanitas_santander,5,0,29,2,0,32,Vinci R.,Garbin T.,64.0,,bogota_copa_colsanitas_santander
wta,2007,12,Dubai,Dubai Duty Free Women's Open,tier_2,hard,3,True,2007-02-19,2007-02-24,27,2007_12_dubai_dubai_duty_free_women_s_open,5,0,25,2,0,28,Henin J.,Mauresmo A.,2.0,,dubai_dubai_duty_free_women_s_open
wta,2007,13,Memphis,Regions Morgan Keegan Championships & the Cellular South Cup,tier_3,hard,3,False,2007-02-19,2007-02-25,31,2007_13_memphis_regions_morgan_keegan_championships_the_cellular_south_cup,5,0,29,2,0,32,Williams V.,Peer S.,54.0,,memphis_regions_morgan_keegan_championships_the_cellular_south_cup
