source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Mchale C.,Dulgheru A.,43,65,1226.0,935.0,2,0,6,2,6,3,,,,,,,completed,1.36,3.0,1.36,3.38,1.5,3.38,1.38,2.94,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_mchale_c_dulgheru_a
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Pennetta F.,Cirstea S.,20,60,2490.0,991.0,2,0,6,4,7,6,,,,,,,completed,1.33,3.25,1.36,3.42,1.36,6.5,1.3,3.36,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_pennetta_f_cirstea_s
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Hradecka L.,Brianti A.,52,70,1116.0,906.0,2,1,6,4,3,6,6,2,,,,,completed,1.44,2.62,1.53,2.67,1.57,2.69,1.5,2.51,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_hradecka_l_brianti_a
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Errani S.,Larsson J.,45,59,1190.0,1006.0,2,0,6,1,6,1,,,,,,,completed,1.36,3.0,1.37,3.36,1.42,3.41,1.36,2.97,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_errani_s_larsson_j
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Baltacha E.,Jones S.,51,274,1120.0,203.0,2,1,6,2,4,6,6,3,,,,,completed,1.18,4.5,1.19,5.21,1.27,5.21,1.19,4.4,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_baltacha_e_jones_s
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Lisicki S.,Razzano V.,15,83,2879.0,811.0,2,0,6,4,6,4,,,,,,,completed,1.14,5.5,1.17,5.81,1.2,5.84,1.16,4.85,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_lisicki_s_razzano_v
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-02,international,True,hard,R32,3,Barthel M.,Dokic J.,69,66,918.0,933.0,2,0,7,6,6,1,,,,,,,completed,1.66,2.1,1.68,2.3,1.8,2.4,1.7,2.07,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-02_barthel_m_dokic_j
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Kuznetsova S.,Riske A.,19,136,2606.0,486.0,2,0,6,3,6,2,,,,,,,completed,1.16,5.0,1.18,5.57,1.2,6.0,1.15,5.01,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_kuznetsova_s_riske_a
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Niculescu M.,Hampton J.,30,144,1715.0,453.0,2,0,7,6,6,1,,,,,,,completed,1.36,3.0,1.47,2.88,1.5,3.01,1.41,2.78,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_niculescu_m_hampton_j
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Wickmayer Y.,Pliskova Ka.,26,145,2050.0,450.0,2,0,6,3,6,4,,,,,,,completed,1.36,3.0,1.41,3.13,1.43,3.35,1.37,2.99,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_wickmayer_y_pliskova_ka
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Vinci R.,Marino R.,23,64,2125.0,955.0,2,0,7,5,6,4,,,,,,,completed,1.3,3.4,1.31,3.77,1.57,3.84,1.31,3.34,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_vinci_r_marino_r
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Peng S.,Rezai A.,17,115,2800.0,591.0,2,1,4,6,6,3,6,4,,,,,completed,1.28,3.5,1.31,3.78,1.36,3.8,1.31,3.32,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_peng_s_rezai_a
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Zheng J.,Morita A.,48,49,1145.0,1130.0,2,1,4,6,6,3,6,4,,,,,completed,1.8,1.9,1.86,2.03,1.94,2.2,1.78,1.97,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_zheng_j_morita_a
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Vesnina E.,Rybarikova M.,57,71,1105.0,906.0,2,0,6,3,6,2,,,,,,,completed,1.66,2.1,1.71,2.24,1.8,2.5,1.7,2.08,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_vesnina_e_rybarikova_m
tennis_data_uk,wta,2012,1,ASB Classic,Auckland,2012-01-03,international,True,hard,R32,3,Goerges J.,Arn G.,21,63,2325.0,965.0,2,1,7,5,3,6,6,4,,,,,completed,1.33,3.25,1.38,3.32,1.38,3.6,1.33,3.18,2012_1_auckland_asb_classic,2012_1_auckland_asb_classic_2012-01-03_goerges_j_arn_g
