source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-03,wta_500,True,hard,R32,32,3,Sakkari M.,Zidansek T.,6,30,4385.0,1876.0,2,1,6,2,0,6,6,4,,,,,completed,1.14,5.5,1.15,6.34,1.16,7.0,1.13,5.75,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_sakkari_m_zidansek_t
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-03,wta_500,True,hard,R32,32,3,Rybakina E.,Sanders S.,14,132,2855.0,581.0,2,1,6,4,1,6,6,1,,,,,completed,1.2,4.5,1.22,4.7,1.24,5.52,1.2,4.4,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_rybakina_e_sanders_s
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-03,wta_500,True,hard,R32,32,3,Juvan K.,Paquet C.,100,119,788.0,628.0,2,0,6,4,6,2,,,,,,,completed,1.5,2.62,1.47,2.89,1.52,2.9,1.45,2.71,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_juvan_k_paquet_c
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-03,wta_500,True,hard,R32,32,3,Tomljanovic A.,Watson H.,45,72,1395.0,949.0,2,0,6,4,7,6,,,,,,,completed,1.3,3.5,1.33,3.64,1.34,3.65,1.3,3.45,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_tomljanovic_a_watson_h
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-03,wta_500,True,hard,R32,32,3,Fernandez L.A.,Alexandrova E.,24,34,2284.0,1736.0,2,0,6,3,6,4,,,,,,,completed,1.57,2.37,1.76,2.17,1.86,2.43,1.65,2.21,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_fernandez_l_a_alexandrova_e
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-03,wta_500,True,hard,R32,32,3,Hon P.,Kvitova P.,263,17,266.0,2660.0,2,1,6,7,7,5,6,2,,,,,completed,6.0,1.12,6.84,1.13,7.25,1.15,6.02,1.12,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_hon_p_kvitova_p
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-04,wta_500,True,hard,R32,32,3,Gasanova A.,Svitolina E.,130,15,587.0,2726.0,2,1,5,7,6,4,6,3,,,,,completed,5.5,1.14,8.12,1.1,8.75,1.14,6.77,1.1,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_gasanova_a_svitolina_e
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-04,wta_500,True,hard,R32,32,3,Rogers S.,Inglis M.,40,141,1583.0,549.0,2,0,6,1,6,3,,,,,,,completed,1.22,4.33,1.27,4.18,1.27,4.4,1.23,4.07,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_rogers_s_inglis_m
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-04,wta_500,True,hard,R32,32,3,Gauff C.,Eikeri U.,22,306,2550.0,220.0,2,0,6,2,6,1,,,,,,,completed,1.06,10.0,1.05,13.55,1.06,13.55,1.04,10.51,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_gauff_c_eikeri_u
tennis_data_uk,wta,2022,1,Adelaide International 1,Adelaide,2022-01-04,wta_500,True,hard,R32,32,3,Kenin S.,Bronzetti L.,12,148,2971.0,495.0,2,0,7,5,7,5,,,,,,,completed,1.3,3.5,1.35,3.49,1.36,3.6,1.32,3.35,2022_1_adelaide_adelaide_international_1,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_kenin_s_bronzetti_l
