source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-03,international,True,hard,R32,3,Ostapenko J.,Larsson J.,84,56,749,981.0,2,0,6,1,7,5,,,,,,,completed,2.1,1.66,2.17,1.76,2.18,1.77,2.1,1.72,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-03_ostapenko_j_larsson_j
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-03,international,True,hard,R32,3,Witthoeft C.,Maria T.,64,74,913,824.0,2,0,6,2,7,6,,,,,,,completed,1.61,2.2,1.9,1.99,1.9,2.2,1.79,2.0,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-03_witthoeft_c_maria_t
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Kuznetsova S.,Barthel M.,25,45,2006,1135.0,1,0,6,2,1,1,,,,,,,retired,1.4,2.75,1.46,2.91,1.5,3.05,1.42,2.8,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_kuznetsova_s_barthel_m
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Hibino N.,Duque Marino M.,66,78,907,792.0,2,1,6,2,2,6,7,5,,,,,completed,1.72,2.0,1.89,2.0,1.91,2.1,1.81,1.96,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_hibino_n_duque_marino_m
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Dulgheru A.,Van Uytvanck A.,69,44,879,1149.0,2,1,1,6,6,2,6,4,,,,,completed,2.5,1.5,2.61,1.55,2.61,1.55,2.52,1.51,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_dulgheru_a_van_uytvanck_a
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Stephens S.,Hercog P.,30,73,1715,835.0,2,0,6,3,6,3,,,,,,,completed,1.3,3.4,1.41,3.13,1.41,3.4,1.34,3.15,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_stephens_s_hercog_p
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Falconi I.,Vandeweghe C.,76,37,797,1247.0,2,1,5,7,6,4,6,3,,,,,completed,2.75,1.4,2.78,1.5,2.8,1.5,2.71,1.44,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_falconi_i_vandeweghe_c
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Mchale C.,Doi M.,63,54,915,1000.0,2,0,6,2,6,4,,,,,,,completed,2.25,1.57,2.23,1.72,2.25,1.73,2.16,1.67,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_mchale_c_doi_m
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Goerges J.,Hradecka L.,50,53,1040,1009.0,2,0,6,0,6,3,,,,,,,completed,1.5,2.5,1.54,2.62,1.57,2.62,1.53,2.47,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_goerges_j_hradecka_l
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-04,international,True,hard,R32,3,Paszek T.,Schiavone F.,172,114,312,541.0,2,1,7,6,4,6,6,3,,,,,completed,1.72,2.0,1.68,2.31,1.74,2.31,1.68,2.15,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-04_paszek_t_schiavone_f
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-05,international,True,hard,R32,3,Strycova B.,Bertens K.,42,104,1170,618.0,2,0,6,2,6,4,,,,,,,completed,1.5,2.5,1.61,2.44,1.63,2.5,1.55,2.4,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-05_strycova_b_bertens_k
tennis_data_uk,wta,2016,1,ASB Classic,Auckland,2016-01-05,international,True,hard,R32,3,Flipkens K.,Mattek-Sands B.,85,60,725,922.0,2,1,3,6,6,4,6,3,,,,,completed,1.83,1.83,1.98,1.91,2.0,1.91,1.9,1.86,2016_1_auckland_asb_classic,2016_1_auckland_asb_classic_2016-01-05_flipkens_k_mattek_sands_b
