tour,year,official_tournament_id,group_name,level,title,surface,in_outdoor,city,country,singles_draw_size,doubles_draw_size,prize_money,start_date,end_date,singles_champion
wta,2015,78,PUNE,ITF,"ITF $25,000 - PUNE, INDIA",Hard,O,,INDIA,32,16,25000,2015-12-21,2016-12-27,Aryna Sabalenka
wta,2016,27,CHARLOTTESVILLE,ITF,"ITF/USTA $50,000 - CHARLOTTESVILLE, VIRGINIA",Clay,O,,USA,32,16,50000,2016-04-25,2016-05-01,Taylor Townsend
wta,2016,28,SZEGED,ITF,"ITF/TENNIS EUROPE $50,000 - SZEGED, HUNGARY",Clay,O,,HUNGARY,32,16,50000,2016-06-13,2016-06-19,Viktoria Tomova-Traycheva
wta,2016,35,LAS PALMAS DE GRAN CANARIA,ITF,"ITF/TENNIS EUROPE $10,000 - LAS PALMAS DE GRAN CANARIA, SPAIN",Clay,O,,SPAIN,32,16,10000,2016-08-08,2016-08-14,Samantha Harris
wta,2016,39,GRENOBLE,ITF,"ITF/TENNIS EUROPE $25,000 - GRENOBLE, FRANCE",Hard,I,,FRANCE,32,16,25000,2016-02-01,2016-02-07,Myrtille Georges
wta,2016,49,ZAWADA (OPOLE),ITF,"ITF/TENNIS EUROPE $25,000 - ZAWADA (OPOLE), POLAND",Carpet,I,,POLAND,32,16,25000,2016-11-14,2016-11-20,Quirine Lemoine
wta,2016,51,CAIRNS,ITF,"ITF $25,000 - CAIRNS, AUSTRALIA",Hard,O,,AUSTRALIA,32,16,25000,2016-10-10,2016-10-16,Olivia Rogowska
wta,2016,55,SAO JOSE DOS CAMPOS,ITF,"ITF $10,000 - SAO JOSE DOS CAMPOS, BRAZIL",Clay,O,,BRAZIL,32,16,10000,2016-03-28,2016-04-03,Nadia Podoroska
wta,2016,56,PETANGE,ITF,"ITF/TENNIS EUROPE $10,000 - PETANGE, LUXEMBOURG",Hard,I,,LUXEMBOURG,32,16,10000,2016-09-12,2016-09-18,Elixane Lechemia
wta,2016,58,ALPHEN A/D RIJN,ITF,"ITF/TENNIS EUROPE $10,000 - ALPHEN A/D RIJN, NETHERLANDS",Clay,O,,NETHERLANDS,32,16,10000,2016-09-05,2016-09-11,Chayenne Ewijk
wta,2016,72,ANKARA,ITF,"ITF/TENNIS EUROPE $50,000 - ANKARA, TURKEY",Hard,I,,TURKEY,32,16,50000,2016-12-19,2016-12-25,Ivana Jorovic
wta,2016,77,DOTHAN,ITF,"ITF/USTA $50,000 - DOTHAN, ALABAMA",Clay,O,,USA,32,16,50000,2016-04-18,2016-04-24,Rebecca Peterson
wta,2016,78,PUNE,ITF,"ITF $10,000 - PUNE, INDIA",Hard,O,,INDIA,32,16,10000,2016-10-24,2016-10-30,Sowjanya Bavisetti
wta,2016,89,ANTALYA 3,ITF,"ITF/TENNIS EUROPE $10,000 - ANTALYA 3, TURKEY",Clay,O,,TURKEY,32,16,10000,2016-01-18,2016-01-24,Lina Gjorcheska
wta,2016,103,HELSINKI,ITF,"ITF/TENNIS EUROPE $10,000 - HELSINKI, FINLAND",Hard,I,,FINLAND,32,16,10000,2016-11-14,2016-11-20,Karen Barritza
