source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-02,atp_250,True,hard,R32,32,3,Lopez F.,Petzschner P.,32,57,1300,839,2,0,6,4,7,6,,,,,,,completed,1.53,2.37,1.67,2.33,1.67,2.6,1.58,2.36,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-02_R32_lopez_f_petzschner_p,2011-339_9,339,2011-339,Brisbane,R32,103852,Feliciano Lopez,104332,Philipp Petzschner,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-02,atp_250,True,hard,R32,32,3,Istomin D.,De Bakker T.,40,43,1031,975,2,0,7,6,6,4,,,,,,,completed,1.9,1.8,2.12,1.79,2.1,1.85,1.99,1.76,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-02_R32_istomin_d_de_bakker_t,2011-339_4,339,2011-339,Brisbane,R32,104797,Denis Istomin,105217,Thiemo De Bakker,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-03,atp_250,True,hard,R32,32,3,Berrer M.,Sela D.,58,75,835,643,2,1,1,6,7,6,6,2,,,,,completed,1.83,1.83,1.98,1.91,2.01,1.91,1.91,1.82,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-03_R32_berrer_m_sela_d,2011-339_2,339,2011-339,Brisbane,R32,103582,Michael Berrer,104534,Dudi Sela,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-03,atp_250,True,hard,R32,32,3,Kubot L.,Brands D.,70,104,695,541,2,0,6,2,6,2,,,,,,,completed,1.72,2.0,1.78,2.15,1.91,2.16,1.8,1.94,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-03_R32_kubot_l_brands_d,2011-339_14,339,2011-339,Brisbane,R32,103997,Lukasz Kubot,104978,Daniel Brands,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-03,atp_250,True,hard,R32,32,3,Mayer F.,Tomic B.,37,208,1128,239,2,0,6,2,6,2,,,,,,,completed,1.36,3.0,1.41,3.1,1.44,3.15,1.39,2.88,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-03_R32_mayer_f_tomic_b,2011-339_8,339,2011-339,Brisbane,R32,104252,Florian Mayer,106071,Bernard Tomic,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-03,atp_250,True,hard,R32,32,3,Giraldo S.,Simon G.,64,41,785,1005,2,0,6,2,6,3,,,,,,,completed,3.5,1.28,3.82,1.3,3.82,1.38,3.25,1.32,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-03_R32_giraldo_s_simon_g,2011-339_11,339,2011-339,Brisbane,R32,105053,Santiago Giraldo,104468,Gilles Simon,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-03,atp_250,True,hard,R32,32,3,Dolgopolov O.,Andreev I.,48,79,940,622,2,0,6,4,6,2,,,,,,,completed,1.53,2.37,1.56,2.59,1.67,2.61,1.58,2.32,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-03_R32_dolgopolov_o_andreev_i,2011-339_15,339,2011-339,Brisbane,R32,105238,Alexandr Dolgopolov,104214,Igor Andreev,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-03,atp_250,True,hard,R32,32,3,Roddick A.,Matosevic M.,8,138,3665,398,2,0,6,3,6,2,,,,,,,completed,1.06,8.0,1.09,8.65,1.11,9.05,1.08,7.15,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-03_R32_roddick_a_matosevic_m,2011-339_16,339,2011-339,Brisbane,R32,104053,Andy Roddick,104594,Marinko Matosevic,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Stepanek R.,Kamke T.,62,67,795,724,2,1,5,7,6,1,6,4,,,,,completed,1.36,3.0,1.42,3.07,1.42,3.21,1.38,2.9,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_stepanek_r_kamke_t,2011-339_6,339,2011-339,Brisbane,R32,103285,Radek Stepanek,104735,Tobias Kamke,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Becker B.,Verdasco F.,53,9,877,3240,2,1,6,1,6,7,6,3,,,,,completed,3.0,1.36,3.31,1.38,3.5,1.43,3.03,1.36,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_becker_b_verdasco_f,2011-339_12,339,2011-339,Brisbane,R32,103794,Benjamin Becker,104269,Fernando Verdasco,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Anderson K.,Luczak P.,61,137,813,400,2,0,6,4,6,4,,,,,,,completed,,,,,,,,,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_anderson_k_luczak_p,2011-339_10,339,2011-339,Brisbane,R32,104731,Kevin Anderson,103429,Peter Luczak,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Berankis R.,Clement A.,87,78,587,627,2,0,6,4,6,3,,,,,,,completed,1.53,2.37,1.53,2.67,1.6,2.73,1.52,2.48,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_berankis_r_clement_a,2011-339_7,339,2011-339,Brisbane,R32,105575,Ricardas Berankis,103096,Arnaud Clement,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Fish M.,Mannarino A.,16,83,1991,600,2,0,6,1,6,4,,,,,,,completed,1.22,4.0,1.29,3.96,1.29,4.5,1.23,3.94,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_fish_m_mannarino_a,2011-339_5,339,2011-339,Brisbane,R32,103888,Mardy Fish,105173,Adrian Mannarino,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Ebden M.,Millman J.,196,204,263,243,2,1,4,6,6,2,6,4,,,,,completed,1.57,2.25,1.62,2.43,1.63,2.6,1.58,2.34,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_ebden_m_millman_j,2011-339_3,339,2011-339,Brisbane,R32,105051,Matthew Ebden,105357,John Millman,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Baghdatis M.,Serra F.,20,69,1785,715,2,1,3,6,7,5,6,4,,,,,completed,1.22,4.0,1.19,5.32,1.28,5.32,1.21,4.26,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_baghdatis_m_serra_f,2011-339_13,339,2011-339,Brisbane,R32,104571,Marcos Baghdatis,103722,Florent Serra,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-04,atp_250,True,hard,R32,32,3,Soderling R.,Harrison R.,5,173,5580,309,2,0,6,2,6,4,,,,,,,completed,1.06,8.0,1.08,9.94,1.1,11.0,1.07,7.96,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-04_R32_soderling_r_harrison_r,2011-339_1,339,2011-339,Brisbane,R32,104417,Robin Soderling,105992,Ryan Harrison,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-05,atp_250,True,hard,R16,16,3,Mayer F.,Berankis R.,37,87,1128,587,2,1,6,4,4,6,6,4,,,,,completed,1.53,2.37,1.63,2.44,1.68,2.45,1.61,2.25,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-05_R16_mayer_f_berankis_r,2011-339_20,339,2011-339,Brisbane,R16,104252,Florian Mayer,105575,Ricardas Berankis,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-05,atp_250,True,hard,R16,16,3,Giraldo S.,Becker B.,64,53,785,877,2,0,6,3,6,4,,,,,,,completed,2.2,1.61,2.23,1.74,2.38,1.74,2.22,1.62,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-05_R16_giraldo_s_becker_b,2011-339_22,339,2011-339,Brisbane,R16,105053,Santiago Giraldo,103794,Benjamin Becker,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-05,atp_250,True,hard,R16,16,3,Roddick A.,Dolgopolov O.,8,48,3665,940,2,0,6,4,6,1,,,,,,,completed,1.22,4.0,1.27,4.23,1.27,4.55,1.22,4.09,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-05_R16_roddick_a_dolgopolov_o,2011-339_24,339,2011-339,Brisbane,R16,104053,Andy Roddick,105238,Alexandr Dolgopolov,tournament_rank_unique,False,
tennis_data_uk,atp,2011,1,Brisbane International,Brisbane,2011-01-05,atp_250,True,hard,R16,16,3,Anderson K.,Lopez F.,61,32,813,1300,2,0,6,3,6,1,,,,,,,completed,1.53,2.37,1.69,2.31,1.69,2.48,1.6,2.3,2011_1_brisbane_brisbane_international,2011_1_brisbane_brisbane_international_2011-01-05_R16_anderson_k_lopez_f,2011-339_21,339,2011-339,Brisbane,R16,104731,Kevin Anderson,103852,Feliciano Lopez,tournament_rank_unique,False,
