year,tour,uk_total_matches,sackmann_total_matches,linked_matches,linked_manual,linked_pass_1,linked_pass_2,ambiguous_matches,unmatched_matches,coverage_pct,linked_at
2010,atp,2679,3030,2678,0,2639,39,0,1,100.0,2026-09-25T12:27:53.322965+00:00
2011,atp,2675,3015,2669,0,2623,46,2,4,99.8,2026-09-25T12:27:53.665141+00:00
2012,atp,2607,3009,2590,0,2495,95,0,17,99.3,2026-09-25T12:27:54.078413+00:00
2013,atp,2631,2944,2630,0,2598,32,0,1,100.0,2026-09-25T12:27:54.464692+00:00
2014,atp,2600,2901,2599,0,2575,24,0,1,100.0,2026-09-25T12:27:54.830464+00:00
2015,atp,2630,2943,2626,0,2550,76,0,4,99.8,2026-09-25T12:27:55.184414+00:00
2016,atp,2626,2941,2618,0,2575,43,0,8,99.7,2026-09-25T12:27:55.560584+00:00
2017,atp,2633,2911,2632,0,2593,39,0,1,100.0,2026-09-25T12:27:55.940779+00:00
2018,atp,2637,2897,2634,0,2623,11,0,3,99.9,2026-09-25T12:27:56.330626+00:00
2019,atp,2610,2806,2607,0,2591,16,0,3,99.9,2026-09-25T12:27:56.744865+00:00
2020,atp,1267,1462,1213,0,1206,7,0,54,95.7,2026-09-25T12:27:57.090256+00:00
2021,atp,2489,2733,2487,0,2423,64,0,2,99.9,2026-09-25T12:27:57.436255+00:00
2022,atp,2632,2917,2632,0,2613,19,0,0,100.0,2026-09-25T12:27:57.834010+00:00
2023,atp,2703,2986,2702,1,2627,74,0,1,100.0,2026-09-25T12:27:58.231877+00:00
2024,atp,2703,3076,2703,2,2665,36,0,0,100.0,2026-09-25T12:27:58.602797+00:00
2025,atp,2644,2944,2643,0,2639,4,0,1,100.0,2026-09-25T12:27:58.960816+00:00
