source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-11,international,True,hard,R32,32,3,Riske A.,Mchale C.,43,51,1175,1015.0,1,0,6,4,,,,,,,,,retired,1.5,2.5,1.59,2.5,1.61,2.55,1.54,2.41,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-11_R32_riske_a_mchale_c,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-12,international,True,hard,R32,32,3,Giorgi C.,Sanders S.,33,365,1355,88.0,2,1,5,7,6,1,7,6,,,,,completed,1.16,5.0,1.19,5.22,1.22,5.6,1.18,4.64,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-12_R32_giorgi_c_sanders_s,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-12,international,True,hard,R32,32,3,Kozlova K.,Flipkens K.,140,49,393,1040.0,2,1,4,6,6,3,6,4,,,,,completed,1.66,2.1,1.76,2.17,1.91,2.3,1.76,2.03,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-12_R32_kozlova_k_flipkens_k,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-14,international,True,hard,R16,16,3,Riske A.,Jovanovski B.,43,56,1175,911.0,2,1,6,2,4,6,6,1,,,,,completed,1.5,2.5,1.58,2.55,1.59,2.62,1.51,2.49,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-14_R16_riske_a_jovanovski_b,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-15,international,True,hard,R16,16,3,Brengle M.,Kozlova K.,91,140,605,393.0,2,0,6,1,7,6,,,,,,,completed,1.36,3.0,1.47,2.9,1.47,3.0,1.4,2.81,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-15_R16_brengle_m_kozlova_k,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-15,international,True,hard,QF,8,3,Riske A.,Diyas Z.,43,32,1175,1371.0,2,0,6,3,6,0,,,,,,,completed,2.37,1.53,2.55,1.6,2.6,1.6,2.43,1.54,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-15_QF_riske_a_diyas_z,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,4,Hobart International,Hobart,2015-01-16,international,True,hard,SF,4,3,Watson H.,Riske A.,50,43,1024,1175.0,2,0,6,3,7,5,,,,,,,completed,2.0,1.8,1.97,1.95,2.2,1.95,2.01,1.78,2015_4_hobart_hobart_international,2015_4_hobart_hobart_international_2015-01-16_SF_watson_h_riske_a,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,5,Apai International,Sydney,2015-01-11,premier,True,hard,R32,32,3,Gavrilova D.,Bencic B.,231,31,201,1391.0,2,0,6,3,6,0,,,,,,,completed,3.0,1.36,2.98,1.44,3.0,1.46,2.79,1.41,2015_5_sydney_apai_international,2015_5_sydney_apai_international_2015-01-11_R32_gavrilova_d_bencic_b,702,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,5,Apai International,Sydney,2015-01-12,premier,True,hard,R32,32,3,Makarova E.,Svitolina E.,10,28,2970,1655.0,2,0,7,6,6,2,,,,,,,completed,1.9,1.8,2.01,1.87,2.1,1.88,1.98,1.79,2015_5_sydney_apai_international,2015_5_sydney_apai_international_2015-01-12_R32_makarova_e_svitolina_e,702,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2015,5,Apai International,Sydney,2015-01-12,premier,True,hard,R32,32,3,Zahlavova Strycova B.,Wozniacki C.,26,8,1720,4625.0,1,0,6,4,1,1,,,,,,,retired,4.0,1.22,4.11,1.27,4.11,1.3,3.76,1.26,2015_5_sydney_apai_international,2015_5_sydney_apai_international_2015-01-12_R32_zahlavova_strycova_b_wozniacki_c,702,unmatched,no_name_pair_candidate
