year,tour,uk_total_matches,sackmann_total_matches,linked_matches,linked_manual,linked_pass_1,linked_pass_2,ambiguous_matches,unmatched_matches,coverage_pct,linked_at
2007,wta,2491,2778,2456,0,2438,18,0,35,98.6,2026-09-25T16:34:14.738567+00:00
2008,wta,2404,2791,2397,0,2372,25,0,7,99.7,2026-09-25T16:34:15.249075+00:00
2009,wta,2433,2722,2426,0,2387,39,0,7,99.7,2026-09-25T16:34:15.765531+00:00
2010,wta,2448,2781,2443,0,2414,29,0,5,99.8,2026-09-25T16:34:16.288134+00:00
2011,wta,2468,2804,2465,0,2461,4,0,3,99.9,2026-09-25T16:34:16.811073+00:00
2012,wta,2407,2849,2406,0,2390,16,0,1,100.0,2026-09-25T16:34:17.310579+00:00
2013,wta,2442,2714,2440,0,2412,28,0,2,99.9,2026-09-25T16:34:17.783478+00:00
2014,wta,2476,2785,2457,0,2312,145,0,19,99.2,2026-09-25T16:34:18.354402+00:00
2015,wta,2521,2651,2502,0,2345,157,0,19,99.2,2026-09-25T16:34:18.875259+00:00
2016,wta,2522,2923,2511,0,2452,59,0,11,99.6,2026-09-25T16:34:19.380884+00:00
2017,wta,2500,2862,2492,0,2411,81,0,8,99.7,2026-09-25T16:34:19.901495+00:00
2018,wta,2469,2756,2468,0,2457,11,0,1,100.0,2026-09-25T16:34:20.455236+00:00
2019,wta,2472,2743,2472,0,2450,22,0,0,100.0,2026-09-25T16:34:20.943594+00:00
2020,wta,1055,1276,1050,0,989,61,0,5,99.5,2026-09-25T16:34:21.408757+00:00
2021,wta,2447,2597,2435,0,2312,123,0,12,99.5,2026-09-25T16:34:21.946271+00:00
2022,wta,2369,2594,2363,0,2343,20,0,6,99.7,2026-09-25T16:51:56.755101+00:00
2023,wta,2491,2810,2475,0,2315,160,0,16,99.4,2026-09-25T16:34:23.024930+00:00
2024,wta,2490,2689,2477,0,2470,7,0,13,99.5,2026-09-25T16:34:23.534580+00:00
2025,wta,2505,2795,2502,0,2437,65,0,3,99.9,2026-09-25T16:34:24.087817+00:00
