location_key,official_tournament_id,location
acapulco,807,Acapulco
adelaide,8998,Adelaide
adelaide|adelaide international 1,2843,Adelaide
adelaide|adelaide international 2,8998,Adelaide
almaty,9410,Almaty
amersfoort,317,Amersfoort
amsterdam,317,Amsterdam
antalya,9426,Antalya
antwerp,7485,Antwerp
athens,5100,Athens
atlanta,6116,Atlanta
auckland,301,Auckland
bangkok,1720,Bangkok
banja luka,2841,Banja Luka
barcelona,425,Barcelona
basel,328,Basel
bastad,316,Bastad
beijing,747,Beijing
belgrade,4787,Belgrade
belgrade|belgrade open,9512,Belgrade
belgrade|serbia open,5053,Belgrade
bogota,6718,Bogota
brighton,620,Brighton
brisbane,339,Brisbane
brussels,7485,Brussels
bucharest,4462,Bucharest
budapest,7648,Budapest
buenos aires,506,Buenos Aires
cagliari,9481,Cagliari
casablanca,360,Casablanca
chengdu,7581,Chengdu
chennai,891,Chennai
cincinnati,422,Cincinnati
cologne|bett1hulks championship,9406,Cologne
cologne|bett1hulks indoors,9404,Cologne
copenhagen,481,Copenhagen
cordoba,9158,Cordoba
costa do sauipe,533,Costa Do Sauipe
dallas,424,Dallas
delray beach,499,Delray Beach
doha,451,Doha
dubai,495,Dubai
dusseldorf,6710,Dusseldorf
eastbourne,741,Eastbourne
estoril,7290,Estoril
florence,2805,Florence
geneva,322,Geneva
gijon,2807,Gijon
gstaad,314,Gstaad
halle,500,Halle
hamburg,414,Hamburg
hangzhou,4713,Hangzhou
ho chi min city,890,Ho Chi Min City
hong kong,336,Hong Kong
houston,717,Houston
houston|masters cup,605,Houston
houston|u s men s clay court championships,717,Houston
indian wells,404,Indian Wells
indianapolis,419,Indianapolis
istanbul,7163,Istanbul
johannesburg,5012,Johannesburg
kitzbuhel,319,Kitzbuhel
kuala lumpur,6003,Kuala Lumpur
las vegas,433,Las Vegas
lisbon,605,Lisbon
london,540,London
london|axa cup,408,London
london|masters cup,605,London
london|wimbledon,540,London
long island,441,Long Island
los angeles,423,Los Angeles
los cabos,7480,Los Cabos
lyon,7694,Lyon
madrid,1536,Madrid
mallorca,8994,Mallorca
marbella,9462,Marbella
marrakech,360,Marrakech
marseille,496,Marseille
melbourne,580,Melbourne
melbourne|australian open,580,Melbourne
melbourne|great ocean road open,8998,Melbourne
melbourne|melbourne summer set,9665,Melbourne
melbourne|murray river open,9428,Melbourne
memphis,402,Memphis
metz,341,Metz
mexico city,807,Mexico City
miami,403,Miami
milan,408,Milan
monte carlo,410,Monte Carlo
montpellier,375,Montpellier
montreal,421,Montreal
moscow,438,Moscow
mumbai,3465,Mumbai
munich,308,Munich
napoli,2809,Napoli
new haven,3348,New Haven
new york,560,New York
new york|new york open,424,New York
new york|us open,560,New York
new york|western southern financial group masters,422,New York
newport,315,Newport
nice,6120,Nice
nottingham,741,Nottingham
nur sultan,9410,Nur-Sultan
oeiras,468,Oeiras
orlando,717,Orlando
palermo,325,Palermo
paris|bnp paribas,352,Paris
paris|bnp paribas masters,352,Paris
paris|french open,520,Paris
parma,9510,Parma
portschach,306,Portschach
pune,891,Pune
queens club,311,Queens Club
quito,7161,Quito
rio de janeiro,6932,Rio de Janeiro
rome,416,Rome
rotterdam,407,Rotterdam
s hertogenbosch,440,'s-Hertogenbosch
salvador,533,Salvador
san diego,9569,San Diego
san jose,424,San Jose
san marino,475,San Marino
santiago,8996,Santiago
sao paulo,533,Sao Paulo
sardinia,9408,Sardinia
scottsdale,433,Scottsdale
seoul,4140,Seoul
shanghai,5014,Shanghai
shenzhen,6967,Shenzhen
singapore,9460,Singapore
sofia,7434,Sofia
sopot,475,Sopot
st petersburg,568,St. Petersburg
st polten,306,St. Polten
stockholm,429,Stockholm
stuttgart,321,Stuttgart
stuttgart|mercedes cup,321,Stuttgart
stuttgart|stuttgart tms,357,Stuttgart
sydney,9663,Sydney
sydney|adidas international,338,Sydney
sydney|masters cup,605,Sydney
tashkent,73,Tashkent
tel aviv,4138,Tel Aviv
tokyo,329,Tokyo
toronto,421,Toronto
toulouse,327,Toulouse
turin,605,Turin
umag,439,Umag
valencia,573,Valencia
vienna,337,Vienna
vina del mar,505,Vina del Mar
warsaw,475,Warsaw
washington,418,Washington
winston salem,6242,Winston-Salem
zagreb,2276,Zagreb
zhuhai,9164,Zhuhai
