year,uk_source_event_key,sackmann_tourney_id,official_tournament_id,note
2016,,2016-M001,9663,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M004,807,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M006,404,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M007,403,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M009,416,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M010,440,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M014,438,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M015,747,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M020,339,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M021,1536,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M024,422,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M035,418,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2016,,2016-M052,6932,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M001,9663,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M004,807,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M006,404,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,2017_20_miami_sony_ericsson_open,2017-M007,403,"Forced pairing (not an id gap): UK's raw start_date for this row is corrupted (2017-01-02, ~2.5 months before end_date), so the automatic date-proximity score dropped it below the match threshold. Confirmed same tournament (Miami Masters/Sony Ericsson Open, hard court); code M007 consistently = Miami (403) in every other year."
2017,,2017-M009,416,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M010,440,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M014,438,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
