official_tournament_id,year,source,source_tournament_id
301.0,2000,sackmann,2000-301
306.0,2000,sackmann,2000-306
308.0,2000,sackmann,2000-308
311.0,2000,sackmann,2000-311
314.0,2000,sackmann,2000-314
315.0,2000,sackmann,2000-315
316.0,2000,sackmann,2000-316
317.0,2000,sackmann,2000-317
319.0,2000,sackmann,2000-319
321.0,2000,sackmann,2000-321
325.0,2000,sackmann,2000-325
327.0,2000,sackmann,2000-327
328.0,2000,sackmann,2000-328
329.0,2000,sackmann,2000-329
336.0,2000,sackmann,2000-336
337.0,2000,sackmann,2000-337
338.0,2000,sackmann,2000-338
339.0,2000,sackmann,2000-339
352.0,2000,sackmann,2000-352
357.0,2000,sackmann,2000-357
359.0,2000,sackmann,2000-359
360.0,2000,sackmann,2000-360
375.0,2000,sackmann,2000-375
402.0,2000,sackmann,2000-402
403.0,2000,sackmann,2000-403
404.0,2000,sackmann,2000-404
407.0,2000,sackmann,2000-407
408.0,2000,sackmann,2000-408
409.0,2000,sackmann,2000-409
410.0,2000,sackmann,2000-410
414.0,2000,sackmann,2000-414
416.0,2000,sackmann,2000-416
418.0,2000,sackmann,2000-418
419.0,2000,sackmann,2000-419
421.0,2000,sackmann,2000-421
422.0,2000,sackmann,2000-422
423.0,2000,sackmann,2000-423
424.0,2000,sackmann,2000-424
425.0,2000,sackmann,2000-425
429.0,2000,sackmann,2000-429
433.0,2000,sackmann,2000-433
438.0,2000,sackmann,2000-438
439.0,2000,sackmann,2000-439
440.0,2000,sackmann,2000-440
441.0,2000,sackmann,2000-441
451.0,2000,sackmann,2000-451
468.0,2000,sackmann,2000-468
475.0,2000,sackmann,2000-475
481.0,2000,sackmann,2000-481
495.0,2000,sackmann,2000-495
496.0,2000,sackmann,2000-496
499.0,2000,sackmann,2000-499
500.0,2000,sackmann,2000-500
505.0,2000,sackmann,2000-505
520.0,2000,sackmann,2000-520
540.0,2000,sackmann,2000-540
560.0,2000,sackmann,2000-560
568.0,2000,sackmann,2000-568
573.0,2000,sackmann,2000-573
580.0,2000,sackmann,2000-580
605.0,2000,sackmann,2000-605
615.0,2000,sackmann,2000-615
620.0,2000,sackmann,2000-620
717.0,2000,sackmann,2000-717
73.0,2000,sackmann,2000-73
741.0,2000,sackmann,2000-741
773.0,2000,sackmann,2000-773
807.0,2000,sackmann,2000-807
890.0,2000,sackmann,2000-890
891.0,2000,sackmann,2000-891
96.0,2000,sackmann,2000-96
301.0,2001,sackmann,2001-301
306.0,2001,sackmann,2001-306
308.0,2001,sackmann,2001-308
311.0,2001,sackmann,2001-311
314.0,2001,sackmann,2001-314
315.0,2001,sackmann,2001-315
316.0,2001,sackmann,2001-316
317.0,2001,sackmann,2001-317
319.0,2001,sackmann,2001-319
321.0,2001,sackmann,2001-321
325.0,2001,sackmann,2001-325
328.0,2001,sackmann,2001-328
329.0,2001,sackmann,2001-329
336.0,2001,sackmann,2001-336
337.0,2001,sackmann,2001-337
338.0,2001,sackmann,2001-338
339.0,2001,sackmann,2001-339
352.0,2001,sackmann,2001-352
357.0,2001,sackmann,2001-357
359.0,2001,sackmann,2001-359
360.0,2001,sackmann,2001-360
375.0,2001,sackmann,2001-375
402.0,2001,sackmann,2001-402
403.0,2001,sackmann,2001-403
404.0,2001,sackmann,2001-404
407.0,2001,sackmann,2001-407
408.0,2001,sackmann,2001-408
409.0,2001,sackmann,2001-409
410.0,2001,sackmann,2001-410
414.0,2001,sackmann,2001-414
416.0,2001,sackmann,2001-416
418.0,2001,sackmann,2001-418
419.0,2001,sackmann,2001-419
421.0,2001,sackmann,2001-421
422.0,2001,sackmann,2001-422
423.0,2001,sackmann,2001-423
424.0,2001,sackmann,2001-424
425.0,2001,sackmann,2001-425
429.0,2001,sackmann,2001-429
433.0,2001,sackmann,2001-433
438.0,2001,sackmann,2001-438
439.0,2001,sackmann,2001-439
440.0,2001,sackmann,2001-440
441.0,2001,sackmann,2001-441
451.0,2001,sackmann,2001-451
468.0,2001,sackmann,2001-468
475.0,2001,sackmann,2001-475
481.0,2001,sackmann,2001-481
495.0,2001,sackmann,2001-495
496.0,2001,sackmann,2001-496
499.0,2001,sackmann,2001-499
500.0,2001,sackmann,2001-500
505.0,2001,sackmann,2001-505
506.0,2001,sackmann,2001-506
520.0,2001,sackmann,2001-520
533.0,2001,sackmann,2001-533
540.0,2001,sackmann,2001-540
560.0,2001,sackmann,2001-560
568.0,2001,sackmann,2001-568
573.0,2001,sackmann,2001-573
580.0,2001,sackmann,2001-580
605.0,2001,sackmann,2001-605
615.0,2001,sackmann,2001-615
717.0,2001,sackmann,2001-717
73.0,2001,sackmann,2001-73
741.0,2001,sackmann,2001-741
773.0,2001,sackmann,2001-773
807.0,2001,sackmann,2001-807
890.0,2001,sackmann,2001-890
891.0,2001,sackmann,2001-891
1536.0,2002,sackmann,2002-1536
301.0,2002,sackmann,2002-301
306.0,2002,sackmann,2002-306
308.0,2002,sackmann,2002-308
311.0,2002,sackmann,2002-311
314.0,2002,sackmann,2002-314
315.0,2002,sackmann,2002-315
316.0,2002,sackmann,2002-316
317.0,2002,sackmann,2002-317
319.0,2002,sackmann,2002-319
321.0,2002,sackmann,2002-321
325.0,2002,sackmann,2002-325
328.0,2002,sackmann,2002-328
329.0,2002,sackmann,2002-329
336.0,2002,sackmann,2002-336
337.0,2002,sackmann,2002-337
338.0,2002,sackmann,2002-338
339.0,2002,sackmann,2002-339
352.0,2002,sackmann,2002-352
360.0,2002,sackmann,2002-360
375.0,2002,sackmann,2002-375
402.0,2002,sackmann,2002-402
403.0,2002,sackmann,2002-403
404.0,2002,sackmann,2002-404
407.0,2002,sackmann,2002-407
408.0,2002,sackmann,2002-408
410.0,2002,sackmann,2002-410
414.0,2002,sackmann,2002-414
416.0,2002,sackmann,2002-416
418.0,2002,sackmann,2002-418
419.0,2002,sackmann,2002-419
421.0,2002,sackmann,2002-421
422.0,2002,sackmann,2002-422
423.0,2002,sackmann,2002-423
424.0,2002,sackmann,2002-424
425.0,2002,sackmann,2002-425
429.0,2002,sackmann,2002-429
433.0,2002,sackmann,2002-433
438.0,2002,sackmann,2002-438
439.0,2002,sackmann,2002-439
440.0,2002,sackmann,2002-440
441.0,2002,sackmann,2002-441
451.0,2002,sackmann,2002-451
468.0,2002,sackmann,2002-468
475.0,2002,sackmann,2002-475
481.0,2002,sackmann,2002-481
495.0,2002,sackmann,2002-495
496.0,2002,sackmann,2002-496
499.0,2002,sackmann,2002-499
500.0,2002,sackmann,2002-500
505.0,2002,sackmann,2002-505
506.0,2002,sackmann,2002-506
520.0,2002,sackmann,2002-520
533.0,2002,sackmann,2002-533
540.0,2002,sackmann,2002-540
560.0,2002,sackmann,2002-560
568.0,2002,sackmann,2002-568
573.0,2002,sackmann,2002-573
580.0,2002,sackmann,2002-580
605.0,2002,sackmann,2002-605
615.0,2002,sackmann,2002-615
717.0,2002,sackmann,2002-717
73.0,2002,sackmann,2002-73
741.0,2002,sackmann,2002-741
773.0,2002,sackmann,2002-773
807.0,2002,sackmann,2002-807
891.0,2002,sackmann,2002-891
1536.0,2003,sackmann,2003-1536
1720.0,2003,sackmann,2003-1720
301.0,2003,sackmann,2003-301
306.0,2003,sackmann,2003-306
308.0,2003,sackmann,2003-308
311.0,2003,sackmann,2003-311
314.0,2003,sackmann,2003-314
315.0,2003,sackmann,2003-315
316.0,2003,sackmann,2003-316
317.0,2003,sackmann,2003-317
319.0,2003,sackmann,2003-319
321.0,2003,sackmann,2003-321
325.0,2003,sackmann,2003-325
328.0,2003,sackmann,2003-328
329.0,2003,sackmann,2003-329
337.0,2003,sackmann,2003-337
338.0,2003,sackmann,2003-338
339.0,2003,sackmann,2003-339
341.0,2003,sackmann,2003-341
352.0,2003,sackmann,2003-352
360.0,2003,sackmann,2003-360
375.0,2003,sackmann,2003-375
