official_tournament_id,year,source,source_tournament_id
,2007,sackmann,2007-W-SL-AUS-01A-2007
,2007,sackmann,2007-W-SL-FRA-01A-2007
,2007,sackmann,2007-W-SL-GBR-01A-2007
,2007,sackmann,2007-W-SL-USA-01A-2007
,2007,sackmann,2007-W-T1-CAN-01A-2007
,2007,sackmann,2007-W-T1-GER-01A-2007
,2007,sackmann,2007-W-T1-ITA-01A-2007
,2007,sackmann,2007-W-T1-JPN-01A-2007
,2007,sackmann,2007-W-T1-RUS-01A-2007
,2007,sackmann,2007-W-T1-SUI-01A-2007
,2007,sackmann,2007-W-T1-USA-01A-2007
,2007,sackmann,2007-W-T1-USA-02A-2007
,2007,sackmann,2007-W-T1-USA-03A-2007
,2007,sackmann,2007-W-T1-USA-04A-2007
,2007,sackmann,2007-W-T2-AUS-01A-2007
,2007,sackmann,2007-W-T2-AUT-01A-2007
,2007,sackmann,2007-W-T2-BEL-01A-2007
,2007,sackmann,2007-W-T2-CHN-01A-2007
,2007,sackmann,2007-W-T2-FRA-01A-2007
,2007,sackmann,2007-W-T2-GBR-01A-2007
,2007,sackmann,2007-W-T2-GER-01A-2007
,2007,sackmann,2007-W-T2-LUX-01A-2007
,2007,sackmann,2007-W-T2-POL-01A-2007
,2007,sackmann,2007-W-T2-QAT-01A-2007
,2007,sackmann,2007-W-T2-UAE-01A-2007
,2007,sackmann,2007-W-T2-USA-01A-2007
,2007,sackmann,2007-W-T2-USA-02A-2007
,2007,sackmann,2007-W-T2-USA-03A-2007
,2007,sackmann,2007-W-T2-USA-04A-2007
,2007,sackmann,2007-W-T3-AUT-01A-2007
,2007,sackmann,2007-W-T3-CAN-01A-2007
,2007,sackmann,2007-W-T3-CHN-01A-2007
,2007,sackmann,2007-W-T3-COL-01A-2007
,2007,sackmann,2007-W-T3-FRA-01A-2007
,2007,sackmann,2007-W-T3-GBR-01A-2007
,2007,sackmann,2007-W-T3-HUN-01A-2007
,2007,sackmann,2007-W-T3-INA-01A-2007
,2007,sackmann,2007-W-T3-IND-01A-2007
,2007,sackmann,2007-W-T3-IND-02A-2007
,2007,sackmann,2007-W-T3-JPN-01A-2007
,2007,sackmann,2007-W-T3-MEX-01A-2007
,2007,sackmann,2007-W-T3-NED-01A-2007
,2007,sackmann,2007-W-T3-THA-01A-2007
,2007,sackmann,2007-W-T3-TUR-01A-2007
,2007,sackmann,2007-W-T3-USA-01A-2007
,2007,sackmann,2007-W-T3-USA-02A-2007
,2007,sackmann,2007-W-T4-AUS-01A-2007
,2007,sackmann,2007-W-T4-CZE-01A-2007
,2007,sackmann,2007-W-T4-ESP-01A-2007
,2007,sackmann,2007-W-T4-ITA-01A-2007
,2007,sackmann,2007-W-T4-KOR-01A-2007
,2007,sackmann,2007-W-T4-MAR-01A-2007
,2007,sackmann,2007-W-T4-NZL-01A-2007
,2007,sackmann,2007-W-T4-POR-01A-2007
,2007,sackmann,2007-W-T4-SLO-01A-2007
,2007,sackmann,2007-W-T4-SWE-01A-2007
,2007,sackmann,2007-W-T4-THA-01A-2007
,2007,sackmann,2007-W-T4-USA-01A-2007
,2007,sackmann,2007-W-T4-UZB-01A-2007
,2007,sackmann,2007-W-WT-ESP-01A-2007
,2008,sackmann,2008-W-OL-CHN-01A-2008
,2008,sackmann,2008-W-SL-AUS-01A-2008
,2008,sackmann,2008-W-SL-FRA-01A-2008
