tournament_group_id,group_name,level,title,year,start_date,end_date,surface,in_outdoor,city,country,singles_draw_size,doubles_draw_size,prize_money,prize_money_currency,singles_champion,status
4948,AHMEDABAD,ITF,"WTT W15 - AHMEDABAD, INDIA",2026,2025-12-29,2026-01-04,Hard,O,,IND,32,16,15000,USD,Mariia Golovina,past
2742,MONASTIR,ITF,"WTT W15 - MONASTIR, TUNISIA",2026,2025-12-29,2026-01-04,Hard,O,,TUN,32,16,15000,USD,Lan Mi,past
4440,NAIROBI,ITF,"WTT W35 - NAIROBI, KENYA",2026,2025-12-29,2026-01-04,Clay,O,,KEN,32,16,30000,USD,Angella Okutoyi,past
2084,UNITED CUP,WTA 500,"United Cup - Australia, AUS",2026,2026-01-02,2026-01-11,Hard,O,PERTH + SYDNEY,AUS,0,0,5903345,USD,,past
800,BRISBANE,WTA 500,"Brisbane International - Brisbane, AUS",2026,2026-01-04,2026-01-11,Hard,O,BRISBANE,AUS,48,16,1691602,USD,Aryna Sabalenka,past
2096,CANBERRA 125,WTA 125,"Workday Canberra International - Canberra, AUS",2026,2026-01-05,2026-01-10,Hard,O,CANBERRA,AUS,32,16,225000,USD,Joanna Garland,past
2403,OSLO,ITF,"WTT W15 - OSLO, NORWAY",2026,2026-01-05,2026-01-11,Hard,I,,NOR,32,16,15000,USD,Katarina Kuzmova,past
4902,HURGHADA,ITF,"WTT W15 - HURGHADA, EGYPT",2026,2026-01-05,2026-01-11,Hard,O,,EGY,32,16,15000,USD,Daria Egorova,past
4949,CAYENNE,ITF,"WTT W15 - CAYENNE, FRANCE",2026,2026-01-05,2026-01-11,Hard,O,,FRA,32,16,15000,USD,Jasmijn Gimbrere,past
2927,MONASTIR 2,ITF,"WTT W15 - MONASTIR 2, TUNISIA",2026,2026-01-05,2026-01-11,Hard,O,,TUN,32,16,15000,USD,Carolyn Ansari,past
1049,AUCKLAND,WTA 250,"ASB Classic - Auckland, NZL",2026,2026-01-05,2026-01-11,Hard,O,AUCKLAND,NZL,32,16,283347,USD,Elina Svitolina,past
911,ANTALYA,ITF,"WTT W35 - ANTALYA, TURKEY",2026,2026-01-05,2026-01-11,Clay,O,,TUR,32,16,30000,USD,Andreea Prisacariu,past
734,NIAROBI 2,ITF,"WTT W35 - NAIROBI 2, KENYA",2026,2026-01-05,2026-01-11,Clay,O,,KEN,32,16,30000,USD,Angella Okutoyi,past
