WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2023-12-31,WTA250,Outdoor,Hard,1st Round,3,Wang Xiy.,Cristian J.,71.0,87.0,937.0,831.0,6.0,1.0,5.0,7.0,7.0,6.0,2.0,1.0,Completed,1.44,2.75,1.53,2.62,1.53,2.78,1.48,2.61
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Avanesyan E.,Barry M.,74.0,649.0,917.0,62.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.05,11.0,1.05,14.08,1.05,16.43,1.04,11.37
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Navarro E.,Fruhvirtova L.,31.0,88.0,1480.0,829.0,2.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,1.36,3.2,1.45,2.9,1.45,3.2,1.39,2.96
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Tsurenko L.,Vickery S.,32.0,143.0,1451.0,537.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.5,2.63,1.48,2.79,1.5,2.96,1.47,2.67
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Parry D.,Bektas E.,76.0,91.0,904.0,820.0,6.0,7.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,2.3,1.62,2.26,1.69,2.36,1.69,2.24,1.64
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Bouzkova M.,Frech M.,36.0,70.0,1353.0,937.0,6.0,0.0,3.0,6.0,6.0,4.0,2.0,1.0,Completed,1.25,4.0,1.29,3.82,1.31,4.01,1.28,3.63
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Putintseva Y.,35.0,63.0,1383.0,1002.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.91,1.91,1.77,2.13,1.93,2.13,1.84,1.95
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Anisimova A.,Pavlyuchenkova A.,373.0,60.0,169.0,1045.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.53,2.61,1.54,2.75,1.54,2.59,1.49
1,Auckland,ASB Classic,2024-01-01,WTA250,Outdoor,Hard,1st Round,3,Sun L.,Kessler M.,214.0,217.0,362.0,359.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.0,1.8,2.14,1.76,2.14,1.82,2.04,1.76
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Martic P.,Masarova R.,41.0,65.0,1264.0,982.0,3.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.73,2.1,1.67,2.29,1.74,2.29,1.67,2.2
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Fruhvirtova B.,Blinkova A.,117.0,48.0,657.0,1170.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.62,2.3,1.61,2.42,1.8,2.42,1.63,2.28
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Martincova T.,42.0,156.0,1248.0,495.0,6.0,7.0,7.0,5.0,6.0,2.0,2.0,1.0,Completed,2.0,1.8,2.11,1.79,2.11,1.83,2.02,1.78
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Gauff C.,Liu C.,3.0,95.0,6690.0,797.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.08,8.0,1.06,11.34,1.08,11.34,1.06,8.88
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Wozniacki C.,25.0,256.0,1809.0,301.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.62,2.3,1.73,2.19,1.77,2.32,1.66,2.2
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Yuan Y.,Day K.,77.0,89.0,903.0,825.0,7.0,6.0,6.0,7.0,6.0,1.0,2.0,1.0,Completed,1.57,2.38,1.57,2.52,1.65,2.52,1.56,2.38
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,1st Round,3,Raducanu E.,Ruse E.G.,301.0,134.0,231.0,575.0,6.0,3.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.91,1.91,1.76,2.15,1.91,2.15,1.82,1.98
1,Auckland,ASB Classic,2024-01-02,WTA250,Outdoor,Hard,2nd Round,3,Wang Xiy.,Wang Xin.,71.0,35.0,937.0,1383.0,6.0,3.0,3.0,6.0,7.0,6.0,2.0,1.0,Completed,2.1,1.73,2.14,1.76,2.22,1.76,2.1,1.72
1,Auckland,ASB Classic,2024-01-03,WTA250,Outdoor,Hard,2nd Round,3,Navarro E.,Avanesyan E.,31.0,74.0,1480.0,917.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.22,4.33,1.24,4.44,1.25,4.81,1.22,4.18
1,Auckland,ASB Classic,2024-01-03,WTA250,Outdoor,Hard,2nd Round,3,Bouzkova M.,Anisimova A.,36.0,373.0,1353.0,169.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.57,2.38,1.67,2.3,1.67,2.4,1.61,2.29
1,Auckland,ASB Classic,2024-01-03,WTA250,Outdoor,Hard,2nd Round,3,Parry D.,Tsurenko L.,76.0,32.0,904.0,1451.0,2.0,6.0,6.0,4.0,6.0,1.0,2.0,1.0,Completed,3.2,1.36,3.28,1.37,3.3,1.37,3.17,1.35
1,Auckland,ASB Classic,2024-01-03,WTA250,Outdoor,Hard,2nd Round,3,Martic P.,Yuan Y.,41.0,77.0,1264.0,903.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.73,2.1,1.77,2.14,1.77,2.32,1.7,2.14
1,Auckland,ASB Classic,2024-01-04,WTA250,Outdoor,Hard,2nd Round,3,Gauff C.,Fruhvirtova B.,3.0,117.0,6690.0,657.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.06,10.0,1.08,9.36,1.09,10.0,1.07,8.31
1,Auckland,ASB Classic,2024-01-04,WTA250,Outdoor,Hard,2nd Round,3,Gracheva V.,Sun L.,42.0,214.0,1248.0,362.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.67,2.2,1.74,2.19,1.75,2.21,1.7,2.13
1,Auckland,ASB Classic,2024-01-04,WTA250,Outdoor,Hard,2nd Round,3,Svitolina E.,Raducanu E.,25.0,301.0,1809.0,231.0,6.0,7.0,7.0,6.0,6.0,1.0,2.0,1.0,Completed,1.44,2.75,1.47,2.85,1.54,2.85,1.46,2.69
1,Auckland,ASB Classic,2024-01-04,WTA250,Outdoor,Hard,Quarterfinals,3,Navarro E.,Martic P.,31.0,41.0,1480.0,1264.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.8,2.0,1.8,2.13,1.88,2.13,1.77,2.04
1,Auckland,ASB Classic,2024-01-05,WTA250,Outdoor,Hard,Quarterfinals,3,Gauff C.,Gracheva V.,3.0,42.0,6690.0,1248.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.04,13.0,1.05,14.7,1.09,14.96,1.05,10.58
1,Auckland,ASB Classic,2024-01-05,WTA250,Outdoor,Hard,Quarterfinals,3,Wang Xiy.,Parry D.,71.0,76.0,937.0,904.0,6.0,7.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,1.44,2.75,1.4,3.23,1.5,3.23,1.42,2.86
1,Auckland,ASB Classic,2024-01-05,WTA250,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Bouzkova M.,25.0,36.0,1809.0,1353.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.8,2.0,1.98,1.93,1.98,2.0,1.88,1.91
1,Auckland,ASB Classic,2024-01-06,WTA250,Outdoor,Hard,Semifinals,3,Gauff C.,Navarro E.,3.0,31.0,6690.0,1480.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.08,8.0,1.13,7.12,1.13,8.2,1.1,6.99
1,Auckland,ASB Classic,2024-01-06,WTA250,Outdoor,Hard,Semifinals,3,Svitolina E.,Wang Xiy.,25.0,71.0,1809.0,937.0,2.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,1.25,4.0,1.26,4.34,1.32,4.34,1.26,3.85
1,Auckland,ASB Classic,2024-01-07,WTA250,Outdoor,Hard,The Final,3,Gauff C.,Svitolina E.,3.0,25.0,6690.0,1809.0,6.0,7.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.17,5.0,1.2,5.24,1.22,5.25,1.18,4.86
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Andreeva M.,Shnaider D.,58.0,97.0,1060.0,785.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.22,4.33,1.25,4.26,1.25,4.41,1.22,4.21
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Rodionova Ar.,Trevisan M.,113.0,46.0,677.0,1189.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.63,1.5,2.77,1.49,2.77,1.54,2.64,1.48
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Pera B.,80.0,69.0,887.0,943.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.44,2.75,1.39,3.19,1.49,3.19,1.4,2.92
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Schmiedlova A.,Dolehide C.,73.0,45.0,918.0,1193.0,3.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,2.38,1.57,2.39,1.63,2.52,1.65,2.35,1.59
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Giorgi C.,Stearns P.,55.0,49.0,1089.0,1168.0,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.73,2.1,1.88,1.99,1.88,2.2,1.79,2.01
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Stephens S.,Siniakova K.,44.0,50.0,1200.0,1162.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,2.1,1.73,2.29,1.68,2.29,1.75,2.18,1.68
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Bogdan A.,38.0,66.0,1316.0,956.0,4.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.5,2.63,1.48,2.79,1.5,2.88,1.47,2.68
2,Brisbane,Brisbane International,2023-12-31,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Minnen G.,61.0,64.0,1023.0,999.0,5.0,7.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,1.73,2.1,1.71,2.22,1.8,2.22,1.72,2.11
